LID,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,ERI,AVERAGE,S,Z-score
1,7490000,0,0,0,1510000,0,0.832222222,0,0,0,0.167777778,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021125303,0.018776375,0.006133587,0.382961576
2,260000,0,0,0,0,0,1,0,0,0,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.023334334,0.018776375,0.006133587,0.7431148
3,7770000,0,0,0,1230000,0,0.863333333,0,0,0,0.136666667,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021534925,0.018776375,0.006133587,0.449745013
4,7570000,0,0,610000,820000,0,0.841111111,0,0,0.067777778,0.091111111,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.023220722,0.018776375,0.006133587,0.724591869
5,7370000,0,0,250000,1380000,0,0.818888889,0,0,0.027777778,0.153333333,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021760564,0.018776375,0.006133587,0.486532462
6,7690000,0,0,0,1310000,0,0.854444444,0,0,0,0.145555556,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.02141789,0.018776375,0.006133587,0.430664008
7,8230000,0,0,0,770000,0,0.914444444,0,0,0,0.085555556,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022207875,0.018776375,0.006133587,0.559460591
8,7930000,0,620000,450000,0,0,0.881111111,0,0.068888889,0.05,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.023327038,0.018776375,0.006133587,0.741925284
9,0,0,0,9000000,0,0,0,0,0,1,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.039357196,0.018776375,0.006133587,3.35543007
10,7710000,0,0,0,1290000,0,0.856666667,0,0,0,0.143333333,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021447149,0.018776375,0.006133587,0.4354343
11,7380000,0,0,0,1620000,0,0.82,0,0,0,0.18,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.020964381,0.018776375,0.006133587,0.356725377
12,7590000,0,0,0,1410000,0,0.843333333,0,0,0,0.156666667,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.021271597,0.018776375,0.006133587,0.406812873
13,2390000,2730000,3400000,480000,0,0,0.265555556,0.303333333,0.377777778,0.053333333,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.014328301,0.018776375,0.006133587,-0.725199507
14,7960000,0,290000,90000,660000,0,0.884444444,0,0.032222222,0.01,0.073333333,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022150885,0.018776375,0.006133587,0.550169127
15,4670000,250000,4050000,0,30000,0,0.518888889,0.027777778,0.45,0,0.003333333,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.017512516,0.018776375,0.006133587,-0.206055458
16,690000,290000,8020000,0,0,0,0.076666667,0.032222222,0.891111111,0,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.012300267,0.018776375,0.006133587,-1.05584357
17,2830000,4660000,1510000,0,0,0,0.314444444,0.517777778,0.167777778,0,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.012101365,0.018776375,0.006133587,-1.088271905
18,7850000,0,0,170000,980000,0,0.872222222,0,0,0.018888889,0.108888889,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022203313,0.018776375,0.006133587,0.558716818
19,8670000,0,200000,0,130000,0,0.963333333,0,0.022222222,0,0.014444444,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022883366,0.018776375,0.006133587,0.669590445
20,8350000,0,130000,0,520000,0,0.927777778,0,0.014444444,0,0.057777778,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022404097,0.018776375,0.006133587,0.591451987
21,2380000,700000,5850000,0,70000,0,0.264444444,0.077777778,0.65,0,0.007777778,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.014212322,0.018776375,0.006133587,-0.744108346
22,3660000,3930000,1080000,310000,20000,0,0.406666667,0.436666667,0.12,0.034444444,0.002222222,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.014635929,0.018776375,0.006133587,-0.67504484
23,7360000,20000,0,450000,1170000,0,0.817777778,0.002222222,0,0.05,0.13,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.022384084,0.018776375,0.006133587,0.588189133
24,3760000,3800000,950000,490000,0,0,0.417777778,0.422222222,0.105555556,0.054444444,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.015413595,0.018776375,0.006133587,-0.548256706
25,2430000,2660000,3120000,540000,250000,0,0.27,0.295555556,0.346666667,0.06,0.027777778,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.014573648,0.018776375,0.006133587,-0.685198931
26,5420000,0,690000,40000,2850000,0,0.602222222,0,0.076666667,0.004444444,0.316666667,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.01833647,0.018776375,0.006133587,-0.071720679
