LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,SLER,ZLER,typemesli,typeLER,type,NUMBER,QUADRANT
1,2.476,0.021397,2.160955403,0.664878439,0.47383789,0.018474349,0.006593987,0.443229613,HIGH,HIGH,HIGHHIGH,1,1
2,2.95434,0.023138,2.160955403,0.664878439,1.193277673,0.018474349,0.006593987,0.707258019,HIGH,HIGH,HIGHHIGH,1,1
3,2.61668,0.021472,2.160955403,0.664878439,0.68542544,0.018474349,0.006593987,0.454603611,HIGH,HIGH,HIGHHIGH,1,1
4,2.69249,0.022844,2.160955403,0.664878439,0.799446283,0.018474349,0.006593987,0.662671947,HIGH,HIGH,HIGHHIGH,1,1
5,2.59601,0.021624,2.160955403,0.664878439,0.65433705,0.018474349,0.006593987,0.477654914,HIGH,HIGH,HIGHHIGH,1,1
6,2.81442,0.020402,2.160955403,0.664878439,0.982833189,0.018474349,0.006593987,0.292334574,HIGH,HIGH,HIGHHIGH,1,1
7,2.8052,0.022055,2.160955403,0.664878439,0.968965993,0.018474349,0.006593987,0.543017489,HIGH,HIGH,HIGHHIGH,1,1
8,2.84003,0.024036,2.160955403,0.664878439,1.021351508,0.018474349,0.006593987,0.843442687,HIGH,HIGH,HIGHHIGH,1,1
9,0.603411,0.04024,2.160955403,0.664878439,-2.342600257,0.018474349,0.006593987,3.300832852,LOW,HIGH,LOWHIGH,3,2
10,1.19392,0.021499,2.160955403,0.664878439,-1.454454447,0.018474349,0.006593987,0.458698251,LOW,HIGH,LOWHIGH,3,2
11,2.45172,0.02125,2.160955403,0.664878439,0.437319937,0.018474349,0.006593987,0.420936578,HIGH,HIGH,HIGHHIGH,1,1
12,2.63556,0.021329,2.160955403,0.664878439,0.713821608,0.018474349,0.006593987,0.432917189,HIGH,HIGH,HIGHHIGH,1,1
13,2.15281,0.014346,2.160955403,0.664878439,-0.012250966,0.018474349,0.006593987,-0.626077845,LOW,LOW,LOWLOW,4,3
14,2.71441,0.022278,2.160955403,0.664878439,0.832414715,0.018474349,0.006593987,0.576836176,HIGH,HIGH,HIGHHIGH,1,1
15,2.1869,0.017316,2.160955403,0.664878439,0.039021565,0.018474349,0.006593987,-0.175667527,HIGH,LOW,HIGHLOW,2,4
16,2.41484,0.012597,2.160955403,0.664878439,0.38185115,0.018474349,0.006593987,-0.891319476,HIGH,LOW,HIGHLOW,2,4
17,2.36591,0.011977,2.160955403,0.664878439,0.30825875,0.018474349,0.006593987,-0.985344526,HIGH,LOW,HIGHLOW,2,4
18,2.83987,0.022066,2.160955403,0.664878439,1.021110863,0.018474349,0.006593987,0.544685675,HIGH,HIGH,HIGHHIGH,1,1
19,2.44068,0.02239,2.160955403,0.664878439,0.420715398,0.018474349,0.006593987,0.593821346,HIGH,HIGH,HIGHHIGH,1,1
20,2.54238,0.022364,2.160955403,0.664878439,0.573675689,0.018474349,0.006593987,0.58987836,HIGH,HIGH,HIGHHIGH,1,1
21,2.16322,0.013207,2.160955403,0.664878439,0.003406032,0.018474349,0.006593987,-0.79881096,HIGH,LOW,HIGHLOW,2,4
22,3.12724,0.01408,2.160955403,0.664878439,1.453325209,0.018474349,0.006593987,-0.666417624,HIGH,LOW,HIGHLOW,2,4
23,2.69036,0.023178,2.160955403,0.664878439,0.79624269,0.018474349,0.006593987,0.713324151,HIGH,HIGH,HIGHHIGH,1,1
24,2.36631,0.015258,2.160955403,0.664878439,0.308860364,0.018474349,0.006593987,-0.48777003,HIGH,LOW,HIGHLOW,2,4
25,2.20107,0.013603,2.160955403,0.664878439,0.060333731,0.018474349,0.006593987,-0.738756251,HIGH,LOW,HIGHLOW,2,4
26,2.66295,0.016457,2.160955403,0.664878439,0.755017109,0.018474349,0.006593987,-0.305937717,HIGH,LOW,HIGHLOW,2,4
27,2.42245,0.017407,2.160955403,0.664878439,0.393296852,0.018474349,0.006593987,-0.161867076,HIGH,LOW,HIGHLOW,2,4
28,2.4753,0.006373,2.160955403,0.664878439,0.472785066,0.018474349,0.006593987,-1.835209651,HIGH,LOW,HIGHLOW,2,4
29,2.25303,0.010518,2.160955403,0.664878439,0.138483355,0.018474349,0.006593987,-1.206606699,HIGH,LOW,HIGHLOW,2,4
30,2.56059,0.007276,2.160955403,0.664878439,0.601064154,0.018474349,0.006593987,-1.698266716,HIGH,LOW,HIGHLOW,2,4
31,2.71444,0.01982,2.160955403,0.664878439,0.832459837,0.018474349,0.006593987,0.20407235,HIGH,HIGH,HIGHHIGH,1,1
32,2.37504,0.006616,2.160955403,0.664878439,0.321990584,0.018474349,0.006593987,-1.798357898,HIGH,LOW,HIGHLOW,2,4
33,3.56891,0.00862,2.160955403,0.664878439,2.117612053,0.018474349,0.006593987,-1.494444673,HIGH,LOW,HIGHLOW,2,4
34,2.26082,0.018868,2.160955403,0.664878439,0.150199782,0.018474349,0.006593987,0.059698403,HIGH,HIGH,HIGHHIGH,1,1
35,2.50584,0.005291,2.160955403,0.664878439,0.518718275,0.018474349,0.006593987,-1.999298528,HIGH,LOW,HIGHLOW,2,4
36,2.50993,0.007756,2.160955403,0.664878439,0.524869775,0.018474349,0.006593987,-1.625473129,HIGH,LOW,HIGHLOW,2,4
37,2.67512,0.006705,2.160955403,0.664878439,0.773321207,0.018474349,0.006593987,-1.784860754,HIGH,LOW,HIGHLOW,2,4
38,2.49577,0.004906,2.160955403,0.664878439,0.503572649,0.018474349,0.006593987,-2.05768505,HIGH,LOW,HIGHLOW,2,4
39,2.50393,0.008975,2.160955403,0.664878439,0.515845569,0.018474349,0.006593987,-1.44060775,HIGH,LOW,HIGHLOW,2,4
40,2.77245,0.004906,2.160955403,0.664878439,0.919708868,0.018474349,0.006593987,-2.05768505,HIGH,LOW,HIGHLOW,2,4
41,2.5914,0.010124,2.160955403,0.664878439,0.647403452,0.018474349,0.006593987,-1.266358101,HIGH,LOW,HIGHLOW,2,4
