 TYPE ,面积,斑块数量,景观破碎度,景观分离度,景观优势度,景观干扰度,景观脆弱度,景观损失度,
,Ai,ni,Ci,Ni,Di,Ei,Fi,Ri,
 cls_1 ,10334907,10558,0.001021586,0.020228867,0.570638022,0.120707057,0.19047619,0.02299182,
 cls_2 ,2706167,4872,0.001800332,0.052479095,0.181473775,0.05293865,0.095238095,0.005041776,
 cls_3 ,894977,7688,0.008590165,0.199334333,0.106407888,0.08537696,0.142857143,0.012196709,
 cls_4 ,428988,8740,0.02037353,0.443402223,0.122879755,0.167783383,0.238095238,0.039948425,
 cls_5 ,2191628,93946,0.042865851,0.284550662,0.457111331,0.19822039,0.047619048,0.009439066,
 cls_6 ,2351,303,0.128881327,15.0645436,0.00268271,4.584340284,0.285714286,1.30981151,
A,16559018,,,,,,,,
,,,,,,,,,景观优势度
,未出现的网格数,总网格数,样方数,Qi,ni,Mi,Ai,Li,Di
 cls_1 ,940,19020,18080,0.950578339,10558,0.083722553,10334907,0.624125597,0.570638022
 cls_2 ,12165,19020,6855,0.360410095,4872,0.038633859,2706167,0.163425573,0.181473775
 cls_3 ,14140,19020,4880,0.256572029,7688,0.060964102,894977,0.05404771,0.106407888
 cls_4 ,11975,19020,7045,0.370399579,8740,0.069306224,428988,0.025906609,0.122879755
 cls_5 ,3447,19020,15573,0.818769716,93946,0.744970541,2191628,0.132352534,0.457111331
 cls_6 ,18867,19020,153,0.008044164,303,0.002402721,2351,0.000141977,0.00268271
,,,,,126107,,16559018,1,
,,,,,,,,,
Cultivated land, cls_1 ,4,0.19047619,,,,,,
Forest land, cls_2 ,2,0.095238095,,,,,,
Grass land, cls_3 ,3,0.142857143,,,,,,
Water, cls_4 ,5,0.238095238,,,,,,
Construction land, cls_5 ,1,0.047619048,,,,,,
Unused land, cls_6 ,6,0.285714286,,,,,,
,,21,,,,,,,
