 TYPE ,面积,斑块数量,景观破碎度,景观分离度,景观优势度,景观干扰度,景观脆弱度,景观损失度,
,Ai,ni,Ci,Ni,Di,Ei,Fi,Ri,
 cls_1 ,10204778,16259,0.001593273,0.025423225,0.579478774,0.124319359,0.19047619,0.023679878,
 cls_2 ,2676974,5746,0.002146453,0.057613724,0.181700378,0.05469742,0.095238095,0.005209278,
 cls_3 ,894163,7707,0.008619234,0.199762184,0.105671402,0.085372553,0.142857143,0.012196079,
 cls_4 ,454625,9163,0.020155073,0.428403315,0.124626493,0.16352383,0.238095238,0.038934245,
 cls_5 ,2326013,93443,0.040173034,0.267392082,0.45150438,0.190605018,0.047619048,0.009076429,
 cls_6 ,2465,295,0.119675456,14.17690332,0.002641601,4.313437046,0.285714286,1.232410585,
A,16559018,,,,,,,,
,,,,,,,,,景观优势度
,未出现的网格数,总网格数,样方数,Qi,ni,Mi,Ai,Li,Di
 cls_1 ,708,19020,18312,0.962776025,16259,0.122604873,10204778,0.6162671,0.579478774
 cls_2 ,12170,19020,6850,0.360147213,5746,0.043329085,2676974,0.161662606,0.181700378
 cls_3 ,14140,19020,4880,0.256572029,7707,0.058116474,894163,0.053998552,0.105671402
 cls_4 ,11897,19020,7123,0.374500526,9163,0.06909579,454625,0.027454829,0.124626493
 cls_5 ,3415,19020,15605,0.820452156,93443,0.70462926,2326013,0.140468052,0.45150438
 cls_6 ,18867,19020,153,0.008044164,295,0.002224518,2465,0.000148861,0.002641601
,,,,,132613,,16559018,1,
,,,,,,,,,
Cultivated land, cls_1 ,4,0.19047619,,,,,,
Forest land, cls_2 ,2,0.095238095,,,,,,
Grass land, cls_3 ,3,0.142857143,,,,,,
Water, cls_4 ,5,0.238095238,,,,,,
Construction land, cls_5 ,1,0.047619048,,,,,,
Unused land, cls_6 ,6,0.285714286,,,,,,
,,21,,,,,,,
