LID,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,ERI,AVERAGE,S,Z-score
1,7730000,0,0,0,1270000,0,0.858888889,0,0,0,0.141111111,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.021619169,0.018616516,0.0071094,0.422349702
2,260000,0,0,0,0,0,1,0,0,0,0,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.023679878,0.018616516,0.0071094,0.71220665
3,7810000,60000,0,0,1130000,0,0.867777778,0.006666667,0,0,0.125555556,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.021723197,0.018616516,0.0071094,0.436982161
4,7300000,0,0,680000,1020000,0,0.811111111,0,0,0.075555556,0.113333333,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.023177373,0.018616516,0.0071094,0.641524877
5,6920000,280000,0,360000,1440000,0,0.768888889,0.031111111,0,0.04,0.16,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.02137886,0.018616516,0.0071094,0.388548116
6,5420000,0,0,0,3580000,0,0.602222222,0,0,0,0.397777778,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.017870951,0.018616516,0.0071094,-0.104870312
7,7870000,0,0,480000,650000,0,0.874444444,0,0,0.053333333,0.072222222,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.023438751,0.018616516,0.0071094,0.678290005
8,6950000,0,650000,1400000,0,0,0.772222222,0,0.072222222,0.155555556,0,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.025223394,0.018616516,0.0071094,0.929315827
9,0,0,0,9000000,0,0,0,0,0,1,0,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.038934245,0.018616516,0.0071094,2.857868291
10,7790000,0,0,0,1210000,0,0.865555556,0,0,0,0.134444444,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.021716525,0.018616516,0.0071094,0.436043685
11,7750000,0,0,0,1250000,0,0.861111111,0,0,0,0.138888889,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.021651621,0.018616516,0.0071094,0.426914363
12,7840000,100000,0,0,1060000,0,0.871111111,0.011111111,0,0,0.117777778,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.021754687,0.018616516,0.0071094,0.441411508
13,2410000,2700000,3420000,470000,0,0,0.267777778,0.3,0.38,0.052222222,0,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.014571471,0.018616516,0.0071094,-0.568971357
