 TYPE ,面积,斑块数量,景观破碎度,景观分离度,景观优势度,景观干扰度,景观脆弱度,景观损失度,
,Ai,ni,Ci,Ni,Di,Ei,Fi,Ri,
 cls_1 ,10060473,16953,0.00168511,0.026332505,0.57219015,0.123180336,0.19047619,0.023462921,
 cls_2 ,2761620,4972,0.001800393,0.051950405,0.184102073,0.053305732,0.095238095,0.005076736,
 cls_3 ,913398,10022,0.010972216,0.222999781,0.110279806,0.094442003,0.142857143,0.013491715,
 cls_4 ,468135,9088,0.019413203,0.414333778,0.124504045,0.158907544,0.238095238,0.03783513,
 cls_5 ,2354261,93301,0.039630695,0.263982924,0.449143168,0.188838858,0.047619048,0.008992327,
 cls_6 ,1131,301,0.266136163,31.21101816,0.002222924,9.496818113,0.285714286,2.713376604,
A,16559018,,,,,,,,
,,,,,,,,,景观优势度
,未出现的网格数,总网格数,样方数,Qi,ni,Mi,Ai,Li,Di
 cls_1 ,994,19020,18026,0.947739222,16953,0.125916353,10060473,0.607552513,0.57219015
 cls_2 ,12060,19020,6960,0.365930599,4972,0.036928927,2761620,0.166774382,0.184102073
 cls_3 ,14144,19020,4876,0.256361725,10022,0.07443719,913398,0.055160155,0.110279806
 cls_4 ,11907,19020,7113,0.373974763,9088,0.067500019,468135,0.028270698,0.124504045
 cls_5 ,3438,19020,15582,0.819242902,93301,0.69298187,2354261,0.14217395,0.449143168
 cls_6 ,18896,19020,124,0.006519453,301,0.002235641,1131,6.83012E-05,0.002222924
,,,,,134637,,16559018,1,
,,,,,,,,,
Cultivated land, cls_1 ,4,0.19047619,,,,,,
Forest land, cls_2 ,2,0.095238095,,,,,,
Grass land, cls_3 ,3,0.142857143,,,,,,
Water, cls_4 ,5,0.238095238,,,,,,
Construction land, cls_5 ,1,0.047619048,,,,,,
Unused land, cls_6 ,6,0.285714286,,,,,,
,,21,,,,,,,
