LID,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,ERI,AVERAGE,S,Z-score
1,7730000,0,0,0,1270000,0,0.858888889,0,0,0,0.141111111,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.021420959,0.018349227,0.00692192,0.443768808
2,260000,0,0,0,0,0,1,0,0,0,0,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.023462921,0.018349227,0.00692192,0.73876819
3,7800000,70000,0,0,1130000,0,0.866666667,0.007777778,0,0,0.125555556,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.021503054,0.018349227,0.00692192,0.455628957
4,7170000,0,0,810000,1020000,0,0.796666667,0,0,0.09,0.113333333,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.023116419,0.018349227,0.00692192,0.688709532
5,6820000,280000,0,440000,1460000,0,0.757777778,0.031111111,0,0.048888889,0.162222222,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.021246096,0.018349227,0.00692192,0.418506596
6,5270000,0,0,0,3730000,0,0.585555556,0,0,0,0.414444444,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.017465664,0.018349227,0.00692192,-0.127647106
7,7840000,0,0,510000,650000,0,0.871111111,0,0,0.056666667,0.072222222,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.023232248,0.018349227,0.00692192,0.705443185
8,6500000,0,780000,1720000,0,0,0.722222222,0,0.086666667,0.191111111,0,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.025345439,0.018349227,0.00692192,1.010732921
9,0,0,0,9000000,0,0,0,0,0,1,0,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.03783513,0.018349227,0.00692192,2.815101038
10,7790000,0,0,0,1210000,0,0.865555556,0,0,0,0.134444444,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.02151743,0.018349227,0.00692192,0.457705838
11,7750000,0,0,0,1250000,0,0.861111111,0,0,0,0.138888889,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.021453116,0.018349227,0.00692192,0.448414484
12,7820000,120000,0,0,1060000,0,0.868888889,0.013333333,0,0,0.117777778,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.021513457,0.018349227,0.00692192,0.457131864
13,2110000,3010000,3470000,410000,0,0,0.234444444,0.334444444,0.385555556,0.045555556,0,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.014124044,0.018349227,0.00692192,-0.610406254
14,4120000,10000,290000,4130000,450000,0,0.457777778,0.001111111,0.032222222,0.458888889,0.05,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.028992915,0.018349227,0.00692192,1.537678656
15,4190000,270000,4100000,0,440000,0,0.465555556,0.03,0.455555556,0,0.048888889,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.017661446,0.018349227,0.00692192,-0.099362755
16,470000,380000,8150000,0,0,0,0.052222222,0.042222222,0.905555556,0,0,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.013657134,0.018349227,0.00692192,-0.677860085
17,2490000,4660000,1850000,0,0,0,0.276666667,0.517777778,0.205555556,0,0,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.011893326,0.018349227,0.00692192,-0.93267495
18,7860000,0,0,210000,930000,0,0.873333333,0,0,0.023333333,0.103333333,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.022302978,0.018349227,0.00692192,0.571192854
19,8430000,0,210000,0,360000,0,0.936666667,0,0.023333333,0,0.04,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.022651436,0.018349227,0.00692192,0.621534092
20,8160000,0,140000,0,700000,0,0.906666667,0,0.015555556,0,0.077777778,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.022182323,0.018349227,0.00692192,0.553761995
21,1160000,710000,6790000,0,340000,0,0.128888889,0.078888889,0.754444444,0,0.037777778,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.013943067,0.018349227,0.00692192,-0.636551747
22,3420000,3690000,1500000,330000,60000,0,0.38,0.41,0.166666667,0.036666667,0.006666667,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.014693228,0.018349227,0.00692192,-0.528177041
23,7330000,0,0,740000,930000,0,0.814444444,0,0,0.082222222,0.103333333,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.023149341,0.018349227,0.00692192,0.693465728
24,4350000,2540000,1590000,520000,0,0,0.483333333,0.282222222,0.176666667,0.057777778,0,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.017342746,0.018349227,0.00692192,-0.145404896
25,1330000,2720000,3070000,570000,1310000,0,0.147777778,0.302222222,0.341111111,0.063333333,0.145555556,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.013308883,0.018349227,0.00692192,-0.728171418
26,4070000,0,430000,40000,4460000,0,0.452222222,0,0.047777778,0.004444444,0.495555556,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.015879412,0.018349227,0.00692192,-0.356810704
27,2280000,1820000,3760000,1140000,0,0,0.253333333,0.202222222,0.417777778,0.126666667,0,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.017399557,0.018349227,0.00692192,-0.137197491
28,550000,8080000,370000,0,0,0,0.061111111,0.897777778,0.041111111,0,0,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.006546285,0.018349227,0.00692192,-1.705154453
29,1140000,3860000,4000000,0,0,0,0.126666667,0.428888889,0.444444444,0,0,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.011145643,0.018349227,0.00692192,-1.040691663
30,310000,7290000,1380000,20000,0,0,0.034444444,0.81,0.153333333,0.002222222,0,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.007073131,0.018349227,0.00692192,-1.629041751
31,5980000,1620000,0,590000,810000,0,0.664444444,0.18,0,0.065555556,0.09,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.019793232,0.018349227,0.00692192,0.208613374
32,250000,7800000,860000,90000,0,0,0.027777778,0.866666667,0.095555556,0.01,0,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.006719145,0.018349227,0.00692192,-1.680181612
33,1430000,6450000,1110000,0,10000,0,0.158888889,0.716666667,0.123333333,0,0.001111111,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.009040295,0.018349227,0.00692192,-1.344848331
