 TYPE ,面积,斑块数量,景观破碎度,景观分离度,景观优势度,景观干扰度,景观脆弱度,景观损失度,
,Ai,ni,Ci,Ni,Di,Ei,Fi,Ri,
 cls_1 ,10069904,28860,0.002865966,0.034324967,0.579478774,0.127626228,0.19047619,0.024309758,
 cls_2 ,2697041,5340,0.001979948,0.055127763,0.181700378,0.053868378,0.095238095,0.005130322,
 cls_3 ,900247,14149,0.015716798,0.268836656,0.105671402,0.109643676,0.142857143,0.015663382,
 cls_4 ,454261,17231,0.037931938,0.587945515,0.124626493,0.220274922,0.238095238,0.05244641,
 cls_5 ,2434945,93554,0.038421402,0.255581443,0.45150438,0.18618601,0.047619048,0.008866,
 cls_6 ,2620,603,0.230152672,19.06973501,0.002641601,5.836525159,0.285714286,1.667578617,
A,16559018,,,,,,,,
,,,,,,,,,景观优势度
,未出现的网格数,总网格数,样方数,Qi,ni,Mi,Ai,Li,Di
 cls_1 ,840,19020,18180,0.955835962,28860,0.18067198,10069904,0.608122052,0.588188011
 cls_2 ,12145,19020,6875,0.361461619,5340,0.03342995,2697041,0.162874453,0.180160119
 cls_3 ,14228,19020,4792,0.251945321,14149,0.088576848,900247,0.054365965,0.112313525
 cls_4 ,10938,19020,8082,0.424921136,17231,0.107871063,454261,0.027432847,0.146914473
 cls_5 ,3358,19020,15662,0.823449001,93554,0.585675204,2434945,0.147046461,0.425804282
 cls_6 ,18736,19020,284,0.014931651,603,0.003774955,2620,0.000158222,0.004755762
,,,,,159737,,16559018,1,
,,,,,,,,,
Cultivated land, cls_1 ,4,0.19047619,,,,,,
Forest land, cls_2 ,2,0.095238095,,,,,,
Grass land, cls_3 ,3,0.142857143,,,,,,
Water, cls_4 ,5,0.238095238,,,,,,
Construction land, cls_5 ,1,0.047619048,,,,,,
Unused land, cls_6 ,6,0.285714286,,,,,,
,,21,,,,,,,
