LID,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,ERI,AVERAGE,S,Z-score
1,7720000,0,0,0,1280000,0,0.857777778,0,0,0,0.142222222,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022113312,0.019501207,0.007690418,0.33965711
2,260000,0,0,0,0,0,1,0,0,0,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.024309758,0.019501207,0.007690418,0.625265269
3,7730000,70000,0,50000,1150000,0,0.858888889,0.007777778,0,0.005555556,0.127777778,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.02234353,0.019501207,0.007690418,0.369592806
4,7460000,0,0,520000,1020000,0,0.828888889,0,0,0.057777778,0.113333333,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.024185139,0.019501207,0.007690418,0.609060817
5,6540000,270000,0,670000,1520000,0,0.726666667,0.03,0,0.074444444,0.168888889,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.023220713,0.019501207,0.007690418,0.483654623
6,5190000,0,0,0,3810000,0,0.576666667,0,0,0,0.423333333,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.0177719,0.019501207,0.007690418,-0.224865164
7,7610000,0,0,730000,660000,0,0.845555556,0,0,0.081111111,0.073333333,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.025459411,0.019501207,0.007690418,0.774756892
8,5090000,0,300000,3610000,0,0,0.565555556,0,0.033333333,0.401111111,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.035307469,0.019501207,0.007690418,2.05531909
9,0,0,0,9000000,0,0,0,0,0,1,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.05244641,0.019501207,0.007690418,4.28392903
10,7770000,0,0,0,1230000,0,0.863333333,0,0,0,0.136666667,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022199111,0.019501207,0.007690418,0.350813721
11,7750000,0,0,0,1250000,0,0.861111111,0,0,0,0.138888889,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022164792,0.019501207,0.007690418,0.346351155
