LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,SLER,ZLER,typemesli,typeLER,type,NUMBER,QUADRANT
1,2.38344,0.021619,1.955770553,0.67912856,0.629732678,0.01859694,0.007131405,0.423767794,HIGH,HIGH,HIGHHIGH,1,1
2,2.64231,0.02368,1.955770553,0.67912856,1.010912348,0.01859694,0.007131405,0.712771147,HIGH,HIGH,HIGHHIGH,1,1
3,2.44402,0.021723,1.955770553,0.67912856,0.718935229,0.01859694,0.007131405,0.438351175,HIGH,HIGH,HIGHHIGH,1,1
4,2.4872,0.023177,1.955770553,0.67912856,0.782516711,0.01859694,0.007131405,0.642238063,HIGH,HIGH,HIGHHIGH,1,1
5,2.39233,0.021379,1.955770553,0.67912856,0.642822983,0.01859694,0.007131405,0.390113837,HIGH,HIGH,HIGHHIGH,1,1
6,2.63815,0.017871,1.955770553,0.67912856,1.004786851,0.01859694,0.007131405,-0.101794831,HIGH,LOW,HIGHLOW,2,4
7,2.49771,0.023439,1.955770553,0.67912856,0.797992426,0.01859694,0.007131405,0.678976966,HIGH,HIGH,HIGHHIGH,1,1
8,2.40371,0.025223,1.955770553,0.67912856,0.659579752,0.01859694,0.007131405,0.929138044,HIGH,HIGH,HIGHHIGH,1,1
9,0.641281,0.038934,1.955770553,0.67912856,-1.935553342,0.01859694,0.007131405,2.851760549,LOW,HIGH,LOWHIGH,3,2
10,0.965802,0.021716,1.955770553,0.67912856,-1.4577042,0.01859694,0.007131405,0.437369601,LOW,HIGH,LOWHIGH,3,2
11,2.25447,0.021652,1.955770553,0.67912856,0.439827544,0.01859694,0.007131405,0.428395213,HIGH,HIGH,HIGHHIGH,1,1
12,2.38973,0.021755,1.955770553,0.67912856,0.638994548,0.01859694,0.007131405,0.442838369,HIGH,HIGH,HIGHHIGH,1,1
13,1.7978,0.014571,1.955770553,0.67912856,-0.232607731,0.01859694,0.007131405,-0.564536736,LOW,LOW,LOWLOW,4,3
14,2.30773,0.029271,1.955770553,0.67912856,0.518251577,0.01859694,0.007131405,1.496768115,HIGH,HIGH,HIGHHIGH,1,1
15,1.85279,0.017566,1.955770553,0.67912856,-0.151636317,0.01859694,0.007131405,-0.144563401,LOW,LOW,LOWLOW,4,3
16,1.97307,0.012836,1.955770553,0.67912856,0.025473007,0.01859694,0.007131405,-0.807826798,HIGH,LOW,HIGHLOW,2,4
