LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,S,Z-score,typemesli,typeLER,type,NUMBER,QUADRANT
1,2.38425,0.021421,1.950166924,0.682104078,0.636388331,0.01832996,0.00692192,0.443768808,HIGH,HIGH,HIGHHIGH,1,1
2,2.64307,0.023463,1.950166924,0.682104078,1.015831892,0.01832996,0.00692192,0.73876819,HIGH,HIGH,HIGHHIGH,1,1
3,2.44479,0.021503,1.950166924,0.682104078,0.725143115,0.01832996,0.00692192,0.455628957,HIGH,HIGH,HIGHHIGH,1,1
4,2.48794,0.023116,1.950166924,0.682104078,0.788403256,0.01832996,0.00692192,0.688709532,HIGH,HIGH,HIGHHIGH,1,1
5,2.39305,0.021246,1.950166924,0.682104078,0.649289588,0.01832996,0.00692192,0.418506596,HIGH,HIGH,HIGHHIGH,1,1
6,2.63889,0.017466,1.950166924,0.682104078,1.009703795,0.01832996,0.00692192,-0.127647106,HIGH,LOW,HIGHLOW,2,4
7,2.49839,0.023232,1.950166924,0.682104078,0.803723498,0.01832996,0.00692192,0.705443185,HIGH,HIGH,HIGHHIGH,1,1
8,2.4044,0.025345,1.950166924,0.682104078,0.665929278,0.01832996,0.00692192,1.010732921,HIGH,HIGH,HIGHHIGH,1,1
9,0.641394,0.037835,1.950166924,0.682104078,-1.91872907,0.01832996,0.00692192,2.815101038,LOW,HIGH,LOWHIGH,3,2
10,0.967387,0.021517,1.950166924,0.682104078,-1.440806403,0.01832996,0.00692192,0.457705838,LOW,HIGH,LOWHIGH,3,2
11,2.25513,0.021453,1.950166924,0.682104078,0.447091706,0.01832996,0.00692192,0.448414484,HIGH,HIGH,HIGHHIGH,1,1
12,2.39038,0.021514,1.950166924,0.682104078,0.64537523,0.01832996,0.00692192,0.457131864,HIGH,HIGH,HIGHHIGH,1,1
13,1.79833,0.014124,1.950166924,0.682104078,-0.222600815,0.01832996,0.00692192,-0.610406254,LOW,LOW,LOWLOW,4,3
14,2.30823,0.028993,1.950166924,0.682104078,0.524939064,0.01832996,0.00692192,1.537678656,HIGH,HIGH,HIGHHIGH,1,1
15,1.8533,0.017661,1.950166924,0.682104078,-0.142011941,0.01832996,0.00692192,-0.099362755,LOW,LOW,LOWLOW,4,3
16,1.97351,0.013657,1.950166924,0.682104078,0.034222162,0.01832996,0.00692192,-0.677860085,HIGH,LOW,HIGHLOW,2,4
17,2.19007,0.011893,1.950166924,0.682104078,0.351710368,0.01832996,0.00692192,-0.93267495,HIGH,LOW,HIGHLOW,2,4
18,2.53717,0.022303,1.950166924,0.682104078,0.860576992,0.01832996,0.00692192,0.571192854,HIGH,HIGH,HIGHHIGH,1,1
19,2.35718,0.022651,1.950166924,0.682104078,0.596702306,0.01832996,0.00692192,0.621534092,HIGH,HIGH,HIGHHIGH,1,1
20,2.41485,0.022182,1.950166924,0.682104078,0.68124952,0.01832996,0.00692192,0.553761995,HIGH,HIGH,HIGHHIGH,1,1
21,1.87668,0.013943,1.950166924,0.682104078,-0.107735646,0.01832996,0.00692192,-0.636551747,LOW,LOW,LOWLOW,4,3
