OBJECTID_12 *,OID,Shape *,OID,RASTERVALU,距离,Shape_Length,Shape_Area,LID,mesli,AVERAGE,S,Z-Score
1,247,面,51,2.475998,0,12000,9000000,1,2.475998,2.162318219,0.662851466,0.473227861
2,402,面,76,2.954341,1587.851113,2640.482012,265404.8653,2,2.954341,2.162318219,0.662851466,1.194872188
3,47,面,89,2.616684,0,12000,9000000,3,2.616684,2.162318219,0.662851466,0.685471489
4,4,面,142,2.69249,0,12000,9000000,4,2.69249,2.162318219,0.662851466,0.799834969
5,172,面,189,2.596012,0,12000,9000000,5,2.596012,2.162318219,0.662851466,0.654285015
6,294,面,193,2.814416,0,12000,9000000,6,2.814416,2.162318219,0.662851466,0.98377663
7,271,面,243,2.805201,0,12000,9000000,7,2.805201,2.162318219,0.662851466,0.969874572
8,23,面,269,2.84003,0,12000,9000000,8,2.84003,2.162318219,0.662851466,1.022418772
9,352,面,271,0.603411,0,12000,9000000,9,0.603411,2.162318219,0.662851466,-2.351819825
10,34,面,345,1.193922,0,12000,9000000,10,1.193922,2.162318219,0.662851466,-1.460955083
11,189,面,356,2.45172,0,12000,9000000,11,2.45172,2.162318219,0.662851466,0.436601254
12,90,面,393,2.635563,0,12000,9000000,12,2.635563,2.162318219,0.662851466,0.713952983
13,175,面,412,2.152812,0,12000,9000000,13,2.152812,2.162318219,0.662851466,-0.014341401
14,75,面,520,2.714412,0,12000,9000000,14,2.714412,2.162318219,0.662851466,0.832907235
15,32,面,567,2.186897,0,12000,9000000,15,2.186897,2.162318219,0.662851466,0.037080376
16,188,面,680,2.414836,0,12000,9000000,16,2.414836,2.162318219,0.662851466,0.380956812
17,100,面,729,2.365912,0,12000,9000000,17,2.365912,2.162318219,0.662851466,0.307148422
18,8,面,819,2.839873,0,12000,9000000,18,2.839873,2.162318219,0.662851466,1.022181916
19,3,面,860,2.440677,0,12000,9000000,19,2.440677,2.162318219,0.662851466,0.419941413
20,425,面,864,2.542377,0,12000,9000000,20,2.542377,2.162318219,0.662851466,0.573369452
21,184,面,877,2.163219,0,12000,9000000,21,2.163219,2.162318219,0.662851466,0.001358949
22,274,面,896,3.12724,0,12000,9000000,22,3.12724,2.162318219,0.662851466,1.455713431
23,483,面,963,2.69036,0,12000,9000000,23,2.69036,2.162318219,0.662851466,0.796621579
24,356,面,967,2.366314,0,12000,9000000,24,2.366314,2.162318219,0.662851466,0.307754892
25,155,面,1040,2.201074,0,12000,9000000,25,2.201074,2.162318219,0.662851466,0.058468275
26,304,面,1087,2.662948,0,12000,9000000,26,2.662948,2.162318219,0.662851466,0.755266915
27,496,面,1096,2.422452,0,12000,9000000,27,2.422452,2.162318219,0.662851466,0.392446566
28,63,面,1098,2.475299,0,12000,9000000,28,2.475299,2.162318219,0.662851466,0.472173326
29,117,面,1101,2.253033,0,12000,9000000,29,2.253033,2.162318219,0.662851466,0.136855368
30,48,面,1103,2.560589,0,12000,9000000,30,2.560589,2.162318219,0.662851466,0.600844687
31,196,面,1131,2.71444,0,12000,9000000,31,2.71444,2.162318219,0.662851466,0.832949476
32,260,面,1143,2.375044,0,12000,9000000,32,2.375044,2.162318219,0.662851466,0.320925264
33,72,面,1181,3.568906,0,12000,9000000,33,3.568906,2.162318219,0.662851466,2.122025603
34,397,面,1220,2.260821,0,12000,9000000,34,2.260821,2.162318219,0.662851466,0.148604607
35,183,面,1270,2.505841,0,12000,9000000,35,2.505841,2.162318219,0.662851466,0.518250014
36,357,面,1332,2.509927,0,12000,9000000,36,2.509927,2.162318219,0.662851466,0.524414291
37,192,面,1342,2.675118,0,12000,9000000,37,2.675118,2.162318219,0.662851466,0.773626986
38,370,面,1363,2.495771,0,12000,9000000,38,2.495771,2.162318219,0.662851466,0.503058074
39,191,面,1545,2.503933,0,12000,9000000,39,2.503933,2.162318219,0.662851466,0.515371541
40,499,面,1652,2.772454,0,12000,9000000,40,2.772454,2.162318219,0.662851466,0.920471347
41,18,面,1656,2.591401,0,12000,9000000,41,2.591401,2.162318219,0.662851466,0.647328706
42,114,面,1659,2.399378,0,12000,9000000,42,2.399378,2.162318219,0.662851466,0.357636354
43,491,面,1794,2.39858,0,12000,9000000,43,2.39858,2.162318219,0.662851466,0.356432464
44,413,面,1930,2.603006,0,12000,9000000,44,2.603006,2.162318219,0.662851466,0.664836399
45,264,面,1959,2.243771,1509.906919,6627.427856,2157656.582,45,2.243771,2.162318219,0.662851466,0.122882404
46,130,面,1981,3.129104,0,12000,9000000,46,3.129104,2.162318219,0.662851466,1.458525524
47,345,面,2003,2.781461,0,12042.85901,8966602.323,47,2.781461,2.162318219,0.662851466,0.93405961
48,394,面,2017,2.780568,0,12000,9000000,48,2.780568,2.162318219,0.662851466,0.9327124
49,285,面,2103,0.957478,0,12000,9000000,49,0.957478,2.162318219,0.662851466,-1.817662449
50,105,面,2116,2.656999,0,12000,9000000,50,2.656999,2.162318219,0.662851466,0.746292053
51,374,面,2134,2.562476,0,12000,9000000,51,2.562476,2.162318219,0.662851466,0.603691479
52,379,面,2151,1.017191,0,12000,9000000,52,1.017191,2.162318219,0.662851466,-1.72757741
53,115,面,2201,3.247984,0,12000,9000000,53,3.247984,2.162318219,0.662851466,1.637871887
54,230,面,2204,3.171809,0,12000,9000000,54,3.171809,2.162318219,0.662851466,1.522951722
55,302,面,2268,2.351907,0,12000,9000000,55,2.351907,2.162318219,0.662851466,0.286020008
56,227,面,2272,2.756828,0,12000,9000000,56,2.756828,2.162318219,0.662851466,0.896897438
57,322,面,2336,2.349566,0,12000,9000000,57,2.349566,2.162318219,0.662851466,0.282488297
58,438,面,2346,2.644496,0,12000,9000000,58,2.644496,2.162318219,0.662851466,0.727429607
59,414,面,2459,2.407309,0,12000,9000000,59,2.407309,2.162318219,0.662851466,0.369601327
60,132,面,2495,2.819005,0,12000,9000000,60,2.819005,2.162318219,0.662851466,0.99069975
