OBJECTID_12 *,OID,Shape *,OID,RASTERVALU,距离,Shape_Length,Shape_Area,LID,mesli,AVERAGE,S,Z-Score
1,247,面,51,2.383442,0,12000,9000000,1,2.383442,1.957003954,0.677545896,0.629386213
2,402,面,76,2.642312,1587.851113,2640.482012,265404.8653,2,2.642312,1.957003954,0.677545896,1.011456271
3,47,面,89,2.444024,0,12000,9000000,3,2.444024,1.957003954,0.677545896,0.718800082
4,4,面,142,2.4872,0,12000,9000000,4,2.4872,1.957003954,0.677545896,0.782524178
5,172,面,189,2.392325,0,12000,9000000,5,2.392325,1.957003954,0.677545896,0.642496764
6,294,面,193,2.638153,0,12000,9000000,6,2.638153,1.957003954,0.677545896,1.005317942
7,271,面,243,2.497711,0,12000,9000000,7,2.497711,1.957003954,0.677545896,0.798037519
8,23,面,269,2.40371,0,12000,9000000,8,2.40371,1.957003954,0.677545896,0.659300054
9,352,面,271,0.641281,0,12000,9000000,9,0.641281,1.957003954,0.677545896,-1.941894951
10,34,面,345,0.965802,0,12000,9000000,10,0.965802,1.957003954,0.677545896,-1.462929611
11,189,面,356,2.254468,0,12000,9000000,11,2.254468,1.957003954,0.677545896,0.439031581
12,90,面,393,2.389728,0,12000,9000000,12,2.389728,1.957003954,0.677545896,0.638663813
13,175,面,412,1.797801,0,12000,9000000,13,1.797801,1.957003954,0.677545896,-0.234969993
14,75,面,520,2.307728,0,12000,9000000,14,2.307728,1.957003954,0.677545896,0.517638802
15,32,面,567,1.85279,0,12000,9000000,15,1.85279,1.957003954,0.677545896,-0.153810915
16,188,面,680,1.973065,0,12000,9000000,16,1.973065,1.957003954,0.677545896,0.023704735
17,100,面,729,2.189831,0,12000,9000000,17,2.189831,1.957003954,0.677545896,0.343632877
18,8,面,819,2.53664,0,12000,9000000,18,2.53664,1.957003954,0.677545896,0.855493405
19,3,面,860,2.356653,0,12000,9000000,19,2.356653,1.957003954,0.677545896,0.589847932
20,425,面,864,2.414324,0,12000,9000000,20,2.414324,1.957003954,0.677545896,0.674965413
21,184,面,877,1.876166,0,12000,9000000,21,1.876166,1.957003954,0.677545896,-0.119309931
22,274,面,896,2.635382,0,12000,9000000,22,2.635382,1.957003954,0.677545896,1.001228182
23,483,面,963,2.382767,0,12000,9000000,23,2.382767,1.957003954,0.677545896,0.628389971
24,356,面,967,2.453511,0,12000,9000000,24,2.453511,1.957003954,0.677545896,0.732802086
25,155,面,1040,1.812898,0,12000,9000000,25,1.812898,1.957003954,0.677545896,-0.212688107
26,304,面,1087,2.023807,0,12000,9000000,26,2.023807,1.957003954,0.677545896,0.098595602
27,496,面,1096,2.040828,0,12000,9000000,27,2.040828,1.957003954,0.677545896,0.123717148
28,63,面,1098,2.27669,0,12000,9000000,28,2.27669,1.957003954,0.677545896,0.471829359
29,117,面,1101,1.91995,0,12000,9000000,29,1.91995,1.957003954,0.677545896,-0.054688479
30,48,面,1103,2.347453,0,12000,9000000,30,2.347453,1.957003954,0.677545896,0.576269516
31,196,面,1131,2.384251,0,12000,9000000,31,2.384251,1.957003954,0.677545896,0.630580228
32,260,面,1143,2.205801,0,12000,9000000,32,2.205801,1.957003954,0.677545896,0.367203236
33,72,面,1181,2.924269,0,12000,9000000,33,2.924269,1.957003954,0.677545896,1.427600774
34,397,面,1220,2.096182,0,12000,9000000,34,2.096182,1.957003954,0.677545896,0.205414934
35,183,面,1270,2.249275,0,12000,9000000,35,2.249275,1.957003954,0.677545896,0.431367155
36,357,面,1332,2.304256,0,12000,9000000,36,2.304256,1.957003954,0.677545896,0.512514426
37,192,面,1342,2.242332,0,12000,9000000,37,2.242332,1.957003954,0.677545896,0.421119879
38,370,面,1363,2.242738,0,12000,9000000,38,2.242738,1.957003954,0.677545896,0.4217191
39,191,面,1545,2.535976,0,12000,9000000,39,2.535976,1.957003954,0.677545896,0.854513398
40,499,面,1652,2.733621,0,12000,9000000,40,2.733621,1.957003954,0.677545896,1.146220574
41,18,面,1656,2.564865,0,12000,9000000,41,2.564865,1.957003954,0.677545896,0.8971511
42,114,面,1659,2.378601,0,12000,9000000,42,2.378601,1.957003954,0.677545896,0.62224131
43,491,面,1794,2.371848,0,12000,9000000,43,2.371848,1.957003954,0.677545896,0.612274457
44,413,面,1930,2.535961,0,12000,9000000,44,2.535961,1.957003954,0.677545896,0.854491259
45,264,面,1959,2.061285,1509.906919,6627.427856,2157656.582,45,2.061285,1.957003954,0.677545896,0.153909936
46,130,面,1981,2.938265,0,12000,9000000,46,2.938265,1.957003954,0.677545896,1.448257677
47,345,面,2003,2.597852,0,12042.85901,8966602.323,47,2.597852,1.957003954,0.677545896,0.9458371
48,394,面,2017,2.554692,0,12000,9000000,48,2.554692,1.957003954,0.677545896,0.882136619
49,285,面,2103,0.965438,0,12000,9000000,49,0.965438,1.957003954,0.677545896,-1.463466844
50,105,面,2116,2.461422,0,12000,9000000,50,2.461422,1.957003954,0.677545896,0.744478047
51,374,面,2134,2.483986,0,12000,9000000,51,2.483986,1.957003954,0.677545896,0.777780588
52,379,面,2151,1.008525,0,12000,9000000,52,1.008525,1.957003954,0.677545896,-1.399874104
53,115,面,2201,2.332075,0,12000,9000000,53,2.332075,1.957003954,0.677545896,0.553572899
54,230,面,2204,2.995901,0,12000,9000000,54,2.995901,1.957003954,0.677545896,1.533323501
55,302,面,2268,2.259346,0,12000,9000000,55,2.259346,1.957003954,0.677545896,0.446231093
56,227,面,2272,2.605208,0,12000,9000000,56,2.605208,1.957003954,0.677545896,0.956693929
57,322,面,2336,2.259054,0,12000,9000000,57,2.259054,1.957003954,0.677545896,0.445800126
58,438,面,2346,2.533101,0,12000,9000000,58,2.533101,1.957003954,0.677545896,0.850270143
59,414,面,2459,2.30904,0,12000,9000000,59,2.30904,1.957003954,0.677545896,0.519575202
60,132,面,2495,2.810823,0,12000,9000000,60,2.810823,1.957003954,0.677545896,1.260164146
61,492,面,2570,2.486923,0,12000,9000000,61,2.486923,1.957003954,0.677545896,0.78211535
62,406,面,2574,0.888668,0,12000,9000000,62,0.888668,1.957003954,0.677545896,-1.576772822
63,25,面,2668,2.303007,0,12000,9000000,63,2.303007,1.957003954,0.677545896,0.510671008
64,427,面,2688,2.5093,0,12000,9000000,64,2.5093,1.957003954,0.677545896,0.815141895
65,441,面,2702,2.42978,0,12000,9000000,65,2.42978,1.957003954,0.677545896,0.697777152
66,299,面,2766,2.545382,0,12000,9000000,66,2.545382,1.957003954,0.677545896,0.868395852
67,317,面,2819,2.325267,0,12000,9000000,67,2.325267,1.957003954,0.677545896,0.543524871
68,400,面,2863,0.602218,0,12000,9000000,68,0.602218,1.957003954,0.677545896,-1.99954861
69,14,面,2880,2.575135,0,12000,9000000,69,2.575135,1.957003954,0.677545896,0.912308744
70,10,面,2980,2.601282,0,12000,9000000,70,2.601282,1.957003954,0.677545896,0.950899488
71,305,面,2991,2.391021,0,12000,9000000,71,2.391021,1.957003954,0.677545896,0.640572171
72,447,面,3000,2.331024,0,12000,9000000,72,2.331024,1.957003954,0.677545896,0.552021712
73,57,面,3065,2.399594,0,12000,9000000,73,2.399594,1.957003954,0.677545896,0.653225189
74,240,面,3107,2.782422,0,12000,9000000,74,2.782422,1.957003954,0.677545896,1.218246691
75,466,面,3120,2.699834,0,12000,9000000,75,2.699834,1.957003954,0.677545896,1.096353841
76,266,面,3180,2.47712,0,12000,9000000,76,2.47712,1.957003954,0.677545896,0.767646958
77,351,面,3195,2.389032,0,12000,9000000,77,2.389032,1.957003954,0.677545896,0.637636577
78,186,面,3236,2.760334,0,12000,9000000,78,2.760334,1.957003954,0.677545896,1.185646685
79,242,面,3266,2.354686,0,12000,9000000,79,2.354686,1.957003954,0.677545896,0.586944808
80,253,面,3343,2.592026,0,12000,9000000,80,2.592026,1.957003954,0.677545896,0.937238421
81,297,面,3471,0.706303,0,12000,9000000,81,0.706303,1.957003954,0.677545896,-1.84592802
82,103,面,3596,2.38843,0,12000,9000000,82,2.38843,1.957003954,0.677545896,0.636748076
83,42,面,3603,2.419694,0,12000,9000000,83,2.419694,1.957003954,0.677545896,0.682891076
84,451,面,3828,2.279033,0,12000,9000000,84,2.279033,1.957003954,0.677545896,0.475287427
85,190,面,3852,2.385893,0,12000,9000000,85,2.385893,1.957003954,0.677545896,0.63300368
86,290,面,3945,2.304047,0,12000,9000000,86,2.304047,1.957003954,0.677545896,0.512205959
87,481,面,3994,2.396513,0,12000,9000000,87,2.396513,1.957003954,0.677545896,0.648677895
88,477,面,3997,2.419031,0,12000,9000000,88,2.419031,1.957003954,0.677545896,0.681912544
89,96,面,4011,2.32664,0,12000,9000000,89,2.32664,1.957003954,0.677545896,0.545551302
90,171,面,4084,2.274336,0,12000,9000000,90,2.274336,1.957003954,0.677545896,0.468355055
91,76,面,4132,2.353956,0,12000,9000000,91,2.353956,1.957003954,0.677545896,0.58586739
92,273,面,4136,2.412647,0,12000,9000000,92,2.412647,1.957003954,0.677545896,0.672490304
93,363,面,4164,2.582485,0,12000,9000000,93,2.582485,1.957003954,0.677545896,0.923156718
94,308,面,4168,2.485535,0,12000,9000000,94,2.485535,1.957003954,0.677545896,0.78006678
95,158,面,4202,0.786651,0,12000,9000000,95,0.786651,1.957003954,0.677545896,-1.72734122
96,495,面,4226,2.227606,0,12000,9000000,96,2.227606,1.957003954,0.677545896,0.399385558
97,55,面,4266,2.590894,0,12000,9000000,97,2.590894,1.957003954,0.677545896,0.935567685
98,284,面,4282,2.187376,0,12000,9000000,98,2.187376,1.957003954,0.677545896,0.340009506
99,316,面,4346,2.895791,0,12000,9000000,99,2.895791,1.957003954,0.677545896,1.385569673
100,275,面,4380,2.749351,0,12000,9000000,100,2.749351,1.957003954,0.677545896,1.169436713
101,123,面,4424,1.967322,0,12000,9000000,101,1.967322,1.957003954,0.677545896,0.015228556
102,365,面,4500,2.630632,0,12000,9000000,102,2.630632,1.957003954,0.677545896,0.994217587
103,205,面,4504,0.679627,0,12000,9000000,103,0.679627,1.957003954,0.677545896,-1.885299523
104,35,面,4513,2.356638,0,12000,9000000,104,2.356638,1.957003954,0.677545896,0.589825793
105,301,面,4518,2.362776,0,12000,9000000,105,2.362776,1.957003954,0.677545896,0.598884958
106,43,面,4541,2.515741,0,12000,9000000,106,2.515741,1.957003954,0.677545896,0.824648262
107,210,面,4547,2.468198,0,12000,9000000,107,2.468198,1.957003954,0.677545896,0.754478846
108,433,面,4556,2.668668,0,12000,9000000,108,2.668668,1.957003954,0.677545896,1.050355481
109,116,面,4559,3.125644,0,9795.567105,5929413.883,109,3.125644,1.957003954,0.677545896,1.724813112
110,337,面,4601,1.003901,0,12000,9000000,110,1.003901,1.957003954,0.677545896,-1.406698734
111,239,面,4633,2.758032,0,12000,9000000,111,2.758032,1.957003954,0.677545896,1.182249129
112,220,面,4648,2.867332,0,12000,9000000,112,2.867332,1.957003954,0.677545896,1.343566614
113,153,面,4702,2.680295,0,12000,9000000,113,2.680295,1.957003954,0.677545896,1.067515942
114,82,面,4784,3.095977,0,12000,9000000,114,3.095977,1.957003954,0.677545896,1.681027149
115,156,面,4834,2.520122,0,12000,9000000,115,2.520122,1.957003954,0.677545896,0.831114245
116,384,面,4922,3.096916,0,12000,9000000,116,3.096916,1.957003954,0.677545896,1.682413033
117,2,面,4960,3.243288,0,12000,9000000,117,3.243288,1.957003954,0.677545896,1.89844563
118,376,面,4997,3.04796,0,12000,9000000,118,3.04796,1.957003954,0.677545896,1.610158149
119,489,面,5046,2.628295,0,12000,9000000,119,2.628295,1.957003954,0.677545896,0.990768374
120,54,面,5076,2.763381,0,12000,9000000,120,2.763381,1.957003954,0.677545896,1.190143797
121,455,面,5100,2.785408,0,12000,9000000,121,2.785408,1.957003954,0.677545896,1.222653772
122,324,面,5107,3.10557,0,12000,9000000,122,3.10557,1.957003954,0.677545896,1.695185599
123,391,面,5164,2.869389,0,12000,9000000,123,2.869389,1.957003954,0.677545896,1.346602571
124,193,面,5197,2.778881,0,12000,9000000,124,2.778881,1.957003954,0.677545896,1.213020477
125,243,面,5201,2.643141,0,12000,9000000,125,2.643141,1.957003954,0.677545896,1.012679805
126,399,面,5221,2.72597,0,12000,9000000,126,2.72597,1.957003954,0.677545896,1.13492835
127,214,面,5256,2.568951,0,12000,9000000,127,2.568951,1.957003954,0.677545896,0.903181687
128,287,面,5363,2.738984,0,12000,9000000,128,2.738984,1.957003954,0.677545896,1.154135905
129,65,面,5380,0.821102,0,12000,9000000,129,0.821102,1.957003954,0.677545896,-1.67649448
130,225,面,5418,2.61942,0,12000,9000000,130,2.61942,1.957003954,0.677545896,0.97766963
131,484,面,5444,2.637952,0,12000,9000000,131,2.637952,1.957003954,0.677545896,1.005021283
132,154,面,5518,0.771849,0,12000,9000000,132,0.771849,1.957003954,0.677545896,-1.74918771
133,257,面,5542,2.44226,0,12000,9000000,133,2.44226,1.957003954,0.677545896,0.716196568
