OBJECTID_12 *,OID,Shape *,OID,RASTERVALU,距离,Shape_Length,Shape_Area,LID,mesli,AVERAGE,S,Z-Score
1,247,面,51,2.384251,0,12000,9000000,1,2.384251,1.951396794,0.680540189,0.636045031
2,402,面,76,2.643075,1587.851113,2640.482012,265404.8653,2,2.643075,1.951396794,0.680540189,1.016366435
3,47,面,89,2.444786,0,12000,9000000,3,2.444786,1.951396794,0.680540189,0.724996428
4,4,面,142,2.487944,0,12000,9000000,4,2.487944,1.951396794,0.680540189,0.788413696
5,172,面,189,2.393052,0,12000,9000000,5,2.393052,1.951396794,0.680540189,0.648977405
6,294,面,193,2.638891,0,12000,9000000,6,2.638891,1.951396794,0.680540189,1.010218378
7,271,面,243,2.498391,0,12000,9000000,7,2.498391,1.951396794,0.680540189,0.803764737
8,23,面,269,2.404398,0,12000,9000000,8,2.404398,1.951396794,0.680540189,0.665649455
9,352,面,271,0.641394,0,12000,9000000,9,0.641394,1.951396794,0.680540189,-1.924945527
10,34,面,345,0.967387,0,12000,9000000,10,0.967387,1.951396794,0.680540189,-1.445924589
11,189,面,356,2.255127,0,12000,9000000,11,2.255127,1.951396794,0.680540189,0.446307523
12,90,面,393,2.390376,0,12000,9000000,12,2.390376,1.951396794,0.680540189,0.645045235
13,175,面,412,1.798329,0,12000,9000000,13,1.798329,1.951396794,0.680540189,-0.22492102
14,75,面,520,2.308234,0,12000,9000000,14,2.308234,1.951396794,0.680540189,0.52434406
15,32,面,567,1.8533,0,12000,9000000,15,1.8533,1.951396794,0.680540189,-0.144145482
16,188,面,680,1.973509,0,12000,9000000,16,1.973509,1.951396794,0.680540189,0.032492139
17,100,面,729,2.19007,0,12000,9000000,17,2.19007,1.951396794,0.680540189,0.350711405
18,8,面,819,2.537172,0,12000,9000000,18,2.537172,1.951396794,0.680540189,0.86075035
19,3,面,860,2.357178,0,12000,9000000,19,2.357178,1.951396794,0.680540189,0.596263398
20,425,面,864,2.414849,0,12000,9000000,20,2.414849,1.951396794,0.680540189,0.681006373
21,184,面,877,1.876682,0,12000,9000000,21,1.876682,1.951396794,0.680540189,-0.109787482
22,274,面,896,2.63583,0,12000,9000000,22,2.63583,1.951396794,0.680540189,1.00572048
23,483,面,963,2.383312,0,12000,9000000,23,2.383312,1.951396794,0.680540189,0.634665245
24,356,面,967,2.454078,0,12000,9000000,24,2.454078,1.951396794,0.680540189,0.738650287
25,155,面,1040,1.813236,0,12000,9000000,25,1.813236,1.951396794,0.680540189,-0.203016363
26,304,面,1087,2.02422,0,12000,9000000,26,2.02422,1.951396794,0.680540189,0.107007944
27,496,面,1096,2.041192,0,12000,9000000,27,2.041192,1.951396794,0.680540189,0.131946956
28,63,面,1098,2.276908,0,12000,9000000,28,2.276908,1.951396794,0.680540189,0.47831298
29,117,面,1101,1.878058,0,12000,9000000,29,1.878058,1.951396794,0.680540189,-0.107765559
30,48,面,1103,2.347682,0,12000,9000000,30,2.347682,1.951396794,0.680540189,0.582309777
31,196,面,1131,2.384625,0,12000,9000000,31,2.384625,1.951396794,0.680540189,0.636594595
32,260,面,1143,2.205986,0,12000,9000000,32,2.205986,1.951396794,0.680540189,0.374098709
33,72,面,1181,2.924702,0,12000,9000000,33,2.924702,1.951396794,0.680540189,1.430195044
34,397,面,1220,2.096287,0,12000,9000000,34,2.096287,1.951396794,0.680540189,0.212904702
35,183,面,1270,2.24944,0,12000,9000000,35,2.24944,1.951396794,0.680540189,0.437950926
36,357,面,1332,2.30443,0,12000,9000000,36,2.30443,1.951396794,0.680540189,0.518754383
37,192,面,1342,2.242585,0,12000,9000000,37,2.242585,1.951396794,0.680540189,0.427878046
38,370,面,1363,2.242994,0,12000,9000000,38,2.242994,1.951396794,0.680540189,0.428479039
39,191,面,1545,2.537015,0,12000,9000000,39,2.537015,1.951396794,0.680540189,0.860519651
40,499,面,1652,2.734513,0,12000,9000000,40,2.734513,1.951396794,0.680540189,1.150727346
41,18,面,1656,2.555784,0,12000,9000000,41,2.555784,1.951396794,0.680540189,0.888099212
42,114,面,1659,2.379459,0,12000,9000000,42,2.379459,1.951396794,0.680540189,0.629003566
43,491,面,1794,2.372672,0,12000,9000000,43,2.372672,1.951396794,0.680540189,0.619030606
44,413,面,1930,2.537282,0,12000,9000000,44,2.537282,1.951396794,0.680540189,0.860911986
45,264,面,1959,2.062265,1509.906919,6627.427856,2157656.582,45,2.062265,1.951396794,0.680540189,0.162912063
46,130,面,1981,2.939547,0,12000,9000000,46,2.939547,1.951396794,0.680540189,1.452008598
47,345,面,2003,2.598838,0,12042.85901,8966602.323,47,2.598838,1.951396794,0.680540189,0.951363661
48,394,面,2017,2.555894,0,12000,9000000,48,2.555894,1.951396794,0.680540189,0.888260849
49,285,面,2103,0.967585,0,12000,9000000,49,0.967585,1.951396794,0.680540189,-1.445633644
50,105,面,2116,2.462306,0,12000,9000000,50,2.462306,1.951396794,0.680540189,0.750740682
51,374,面,2134,2.485033,0,12000,9000000,51,2.485033,1.951396794,0.680540189,0.784136212
52,379,面,2151,1.010642,0,12000,9000000,52,1.010642,1.951396794,0.680540189,-1.382364787
53,115,面,2201,2.332582,0,12000,9000000,53,2.332582,1.951396794,0.680540189,0.560121521
54,230,面,2204,2.996967,0,12000,9000000,54,2.996967,1.951396794,0.680540189,1.536382748
55,302,面,2268,2.25984,0,12000,9000000,55,2.25984,1.951396794,0.680540189,0.453232904
56,227,面,2272,2.605739,0,12000,9000000,56,2.605739,1.951396794,0.680540189,0.961504135
57,322,面,2336,2.259529,0,12000,9000000,57,2.259529,1.951396794,0.680540189,0.452775914
58,438,面,2346,2.534193,0,12000,9000000,58,2.534193,1.951396794,0.680540189,0.856372945
59,414,面,2459,2.309875,0,12000,9000000,59,2.309875,1.951396794,0.680540189,0.52675538
60,132,面,2495,2.811941,0,12000,9000000,60,2.811941,1.951396794,0.680540189,1.26450167
61,492,面,2570,2.488015,0,12000,9000000,61,2.488015,1.951396794,0.680540189,0.788518025
62,406,面,2574,0.890697,0,12000,9000000,62,0.890697,1.951396794,0.680540189,-1.558614481
63,25,面,2668,2.303865,0,12000,9000000,63,2.303865,1.951396794,0.680540189,0.51792416
