OBJECTID_12 *,OID,Shape *,OID,RASTERVALU,距离,Shape_Length,Shape_Area,LID,mesli,AVERAGE,S,Z-Score
1,247,面,51,2.362708,0,12000,9000000,1,2.362708,1.932565937,0.68923483,0.62408637
2,402,面,76,2.622729,1587.851113,2640.482012,265404.8653,2,2.622729,1.932565937,0.68923483,1.001346759
3,47,面,89,2.424491,0,12000,9000000,3,2.424491,1.932565937,0.68923483,0.713726356
4,4,面,142,2.468107,0,12000,9000000,4,2.468107,1.932565937,0.68923483,0.777008126
5,172,面,189,2.373678,0,12000,9000000,5,2.373678,1.932565937,0.68923483,0.640002571
6,294,面,193,2.619247,0,12000,9000000,6,2.619247,1.932565937,0.68923483,0.99629478
7,271,面,243,2.480278,0,12000,9000000,7,2.480278,1.932565937,0.68923483,0.794666839
8,23,面,269,2.386072,0,12000,9000000,8,2.386072,1.932565937,0.68923483,0.657984831
9,352,面,271,0.638381,0,12000,9000000,9,0.638381,1.932565937,0.68923483,-1.877712619
10,34,面,345,0.925129,0,12000,9000000,10,0.925129,1.932565937,0.68923483,-1.461674445
11,189,面,356,2.237582,0,12000,9000000,11,2.237582,1.932565937,0.68923483,0.44254302
12,90,面,393,2.373086,0,12000,9000000,12,2.373086,1.932565937,0.68923483,0.639143648
13,175,面,412,1.78426,0,12000,9000000,13,1.78426,1.932565937,0.68923483,-0.215174757
14,75,面,520,2.294752,0,12000,9000000,14,2.294752,1.932565937,0.68923483,0.525490076
15,32,面,567,2.277748,0,12000,9000000,15,2.277748,1.932565937,0.68923483,0.500819239
16,188,面,680,1.961672,0,12000,9000000,16,1.961672,1.932565937,0.68923483,0.04222953
17,100,面,729,2.183711,0,12000,9000000,17,2.183711,1.932565937,0.68923483,0.364382432
18,8,面,819,2.522998,0,12000,9000000,18,2.522998,1.932565937,0.68923483,0.856648616
19,3,面,860,2.343187,0,12000,9000000,19,2.343187,1.932565937,0.68923483,0.595763658
20,425,面,864,2.400839,0,12000,9000000,20,2.400839,1.932565937,0.68923483,0.67941004
21,184,面,877,1.862927,0,12000,9000000,21,1.862927,1.932565937,0.68923483,-0.101038041
22,274,面,896,2.623881,0,12000,9000000,22,2.623881,1.932565937,0.68923483,1.003018178
23,483,面,963,2.3688,0,12000,9000000,23,2.3688,1.932565937,0.68923483,0.632925158
24,356,面,967,2.438576,0,12000,9000000,24,2.438576,1.932565937,0.68923483,0.734162061
25,155,面,1040,2.417241,0,12000,9000000,25,2.417241,1.932565937,0.68923483,0.703207444
26,304,面,1087,2.013198,0,12000,9000000,26,2.013198,1.932565937,0.68923483,0.116987795
27,496,面,1096,2.856578,0,12000,9000000,27,2.856578,1.932565937,0.68923483,1.340634604
28,63,面,1098,2.271077,0,12000,9000000,28,2.271077,1.932565937,0.68923483,0.49114039
29,117,面,1101,1.909479,0,12000,9000000,29,1.909479,1.932565937,0.68923483,-0.033496474
30,48,面,1103,2.341569,0,12000,9000000,30,2.341569,1.932565937,0.68923483,0.593416127
31,196,面,1131,2.374643,0,12000,9000000,31,2.374643,1.932565937,0.68923483,0.641402675
32,260,面,1143,2.20106,0,12000,9000000,32,2.20106,1.932565937,0.68923483,0.389553823
33,72,面,1181,2.913165,0,12000,9000000,33,2.913165,1.932565937,0.68923483,1.422735795
34,397,面,1220,2.09347,0,12000,9000000,34,2.09347,1.932565937,0.68923483,0.233453181
35,183,面,1270,2.245039,0,12000,9000000,35,2.245039,1.932565937,0.68923483,0.453362265
36,357,面,1332,2.299784,0,12000,9000000,36,2.299784,1.932565937,0.68923483,0.532790926
37,192,面,1342,2.235836,0,12000,9000000,37,2.235836,1.932565937,0.68923483,0.440009776
38,370,面,1363,2.236182,0,12000,9000000,38,2.236182,1.932565937,0.68923483,0.440511782
39,191,面,1545,2.509318,0,12000,9000000,39,2.509318,1.932565937,0.68923483,0.836800519
40,499,面,1652,2.710743,0,12000,9000000,40,2.710743,1.932565937,0.68923483,1.129044891
41,18,面,1656,2.525169,0,12000,9000000,41,2.525169,1.932565937,0.68923483,0.859798486
42,114,面,1659,2.356444,0,12000,9000000,42,2.356444,1.932565937,0.68923483,0.614998031
43,491,面,1794,2.350729,0,12000,9000000,43,2.350729,1.932565937,0.68923483,0.606706227
44,413,面,1930,2.502066,0,12000,9000000,44,2.502066,1.932565937,0.68923483,0.826278706
45,264,面,1959,0.697747,1509.906919,6627.427856,2157656.582,45,0.697747,1.932565937,0.68923483,-1.791579421
46,130,面,1981,2.905376,0,12000,9000000,46,2.905376,1.932565937,0.68923483,1.411434857
47,345,面,2003,2.663441,0,12042.85901,8966602.323,47,2.663441,1.932565937,0.68923483,1.060415161
48,394,面,2017,2.523875,0,12000,9000000,48,2.523875,1.932565937,0.68923483,0.857921042
49,285,面,2103,0.910379,0,12000,9000000,49,0.910379,1.932565937,0.68923483,-1.483074988
50,105,面,2116,2.438195,0,12000,9000000,50,2.438195,1.932565937,0.68923483,0.733609274
51,374,面,2134,2.457123,0,12000,9000000,51,2.457123,1.932565937,0.68923483,0.761071612
52,379,面,2151,0.954213,0,12000,9000000,52,0.954213,1.932565937,0.68923483,-1.419476925
53,115,面,2201,2.319073,0,12000,9000000,53,2.319073,1.932565937,0.68923483,0.560777033
54,230,面,2204,2.968543,0,12000,9000000,54,2.968543,1.932565937,0.68923483,1.503082866
