LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,SLER,ZLER,typemesli,typeLER,type,NUMBER,QUADRANT
1,2.36271,0.022113,1.931347933,0.690740706,0.624492032,0.019480712,0.007712507,0.341301201,HIGH,HIGH,HIGHHIGH,1,1
2,2.62273,0.02431,1.931347933,0.690740706,1.000928512,0.019480712,0.007712507,0.626163189,HIGH,HIGH,HIGHHIGH,1,1
3,2.42449,0.022343,1.931347933,0.690740706,0.713932251,0.019480712,0.007712507,0.371122893,HIGH,HIGH,HIGHHIGH,1,1
4,2.46811,0.024185,1.931347933,0.690740706,0.777081852,0.019480712,0.007712507,0.609955748,HIGH,HIGH,HIGHHIGH,1,1
5,2.37368,0.023221,1.931347933,0.690740706,0.640373534,0.019480712,0.007712507,0.484963961,HIGH,HIGH,HIGHHIGH,1,1
6,2.61925,0.017772,1.931347933,0.690740706,0.995890442,0.019480712,0.007712507,-0.221550819,HIGH,LOW,HIGHLOW,2,4
7,2.48028,0.025459,1.931347933,0.690740706,0.794700619,0.019480712,0.007712507,0.775141989,HIGH,HIGH,HIGHHIGH,1,1
8,2.38607,0.035307,1.931347933,0.690740706,0.6583108,0.019480712,0.007712507,2.052029042,HIGH,HIGH,HIGHHIGH,1,1
9,0.638381,0.052446,1.931347933,0.690740706,-1.871855708,0.019480712,0.007712507,4.274263729,LOW,HIGH,LOWHIGH,3,2
10,0.925129,0.022199,1.931347933,0.690740706,-1.456724535,0.019480712,0.007712507,0.352451921,LOW,HIGH,LOWHIGH,3,2
11,2.23758,0.022165,1.931347933,0.690740706,0.443338671,0.019480712,0.007712507,0.348043497,HIGH,HIGH,HIGHHIGH,1,1
12,2.37309,0.022767,1.931347933,0.690740706,0.639519378,0.019480712,0.007712507,0.426098534,HIGH,HIGH,HIGHHIGH,1,1
13,1.78426,0.015618,1.931347933,0.690740706,-0.212942327,0.019480712,0.007712507,-0.500837447,LOW,LOW,LOWLOW,4,3
14,2.29475,0.037438,1.931347933,0.690740706,0.526104895,0.019480712,0.007712507,2.328333501,HIGH,HIGH,HIGHHIGH,1,1
15,2.27775,0.020578,1.931347933,0.690740706,0.501493634,0.019480712,0.007712507,0.142273823,HIGH,HIGH,HIGHHIGH,1,1
16,1.96167,0.015884,1.931347933,0.690740706,0.0438979,0.019480712,0.007712507,-0.466348012,HIGH,LOW,HIGHLOW,2,4
17,2.18371,0.012257,1.931347933,0.690740706,0.365349927,0.019480712,0.007712507,-0.936623128,HIGH,LOW,HIGHLOW,2,4
18,2.523,0.023197,1.931347933,0.690740706,0.856547271,0.019480712,0.007712507,0.481852132,HIGH,HIGH,HIGHHIGH,1,1
19,2.34319,0.023692,1.931347933,0.690740706,0.596232513,0.019480712,0.007712507,0.546033599,HIGH,HIGH,HIGHHIGH,1,1
20,2.40084,0.023023,1.931347933,0.690740706,0.679693643,0.019480712,0.007712507,0.459291374,HIGH,HIGH,HIGHHIGH,1,1
21,1.86293,0.015095,1.931347933,0.690740706,-0.099050096,0.019480712,0.007712507,-0.568649381,LOW,LOW,LOWLOW,4,3
22,2.62388,0.015137,1.931347933,0.690740706,1.002593391,0.019480712,0.007712507,-0.563203681,HIGH,LOW,HIGHLOW,2,4
23,2.3688,0.02559,1.931347933,0.690740706,0.633308654,0.019480712,0.007712507,0.792127388,HIGH,HIGH,HIGHHIGH,1,1
24,2.43858,0.018085,1.931347933,0.690740706,0.734330643,0.019480712,0.007712507,-0.180967386,HIGH,LOW,HIGHLOW,2,4
25,2.41724,0.016753,1.931347933,0.690740706,0.703436272,0.019480712,0.007712507,-0.35367388,HIGH,LOW,HIGHLOW,2,4
26,2.0132,0.016493,1.931347933,0.690740706,0.118498977,0.019480712,0.007712507,-0.387385358,HIGH,LOW,HIGHLOW,2,4
27,2.85658,0.020677,1.931347933,0.690740706,1.339478127,0.019480712,0.007712507,0.155110116,HIGH,HIGH,HIGHHIGH,1,1
28,2.27108,0.006994,1.931347933,0.690740706,0.491837333,0.019480712,0.007712507,-1.619021235,HIGH,LOW,HIGHLOW,2,4
29,1.90948,0.01312,1.931347933,0.690740706,-0.031658672,0.019480712,0.007712507,-0.824726953,LOW,LOW,LOWLOW,4,3
30,2.34157,0.007782,1.931347933,0.690740706,0.593887204,0.019480712,0.007712507,-1.516849525,HIGH,LOW,HIGHLOW,2,4
31,2.37464,0.019882,1.931347933,0.690740706,0.641763346,0.019480712,0.007712507,0.05203079,HIGH,HIGH,HIGHHIGH,1,1
32,2.20106,0.00713,1.931347933,0.690740706,0.390467891,0.019480712,0.007712507,-1.601387539,HIGH,LOW,HIGHLOW,2,4
33,2.91316,0.010429,1.931347933,0.690740706,1.421390195,0.019480712,0.007712507,-1.173640749,HIGH,LOW,HIGHLOW,2,4
34,2.09347,0.022721,1.931347933,0.690740706,0.234707562,0.019480712,0.007712507,0.420134196,HIGH,HIGH,HIGHHIGH,1,1
35,2.24504,0.00513,1.931347933,0.690740706,0.454138672,0.019480712,0.007712507,-1.860706599,HIGH,LOW,HIGHLOW,2,4
36,2.29978,0.0105,1.931347933,0.690740706,0.533386933,0.019480712,0.007712507,-1.164434922,HIGH,LOW,HIGHLOW,2,4
37,2.23584,0.044849,1.931347933,0.690740706,0.440819636,0.019480712,0.007712507,3.289240278,HIGH,HIGH,HIGHHIGH,1,1
38,2.23618,0.00513,1.931347933,0.690740706,0.441311862,0.019480712,0.007712507,-1.860706599,HIGH,LOW,HIGHLOW,2,4
39,2.50932,0.00949,1.931347933,0.690740706,0.836742445,0.019480712,0.007712507,-1.295391048,HIGH,LOW,HIGHLOW,2,4
40,2.71074,0.005152,1.931347933,0.690740706,1.128342459,0.019480712,0.007712507,-1.857854089,HIGH,LOW,HIGHLOW,2,4
41,2.52517,0.011908,1.931347933,0.690740706,0.859688826,0.019480712,0.007712507,-0.981874304,HIGH,LOW,HIGHLOW,2,4
42,2.35644,0.012996,1.931347933,0.690740706,0.615414819,0.019480712,0.007712507,-0.840804735,HIGH,LOW,HIGHLOW,2,4
43,2.35073,0.00685,1.931347933,0.690740706,0.607148331,0.019480712,0.007712507,-1.637692207,HIGH,LOW,HIGHLOW,2,4
44,2.50207,0.022865,1.931347933,0.690740706,0.826246465,0.019480712,0.007712507,0.438805168,HIGH,HIGH,HIGHHIGH,1,1
45,0.697747,0.005937,1.931347933,0.690740706,-1.785910288,0.019480712,0.007712507,-1.756071358,LOW,LOW,LOWLOW,4,3
46,2.90538,0.026088,1.931347933,0.690740706,1.410126924,0.019480712,0.007712507,0.856697834,HIGH,HIGH,HIGHHIGH,1,1
47,2.66344,0.023984,1.931347933,0.690740706,1.059865244,0.019480712,0.007712507,0.583894182,HIGH,HIGH,HIGHHIGH,1,1
48,2.52388,0.023361,1.931347933,0.690740706,0.857821266,0.019480712,0.007712507,0.503116295,HIGH,HIGH,HIGHHIGH,1,1
49,0.910379,0.025902,1.931347933,0.690740706,-1.478078423,0.019480712,0.007712507,0.832581161,LOW,HIGH,LOWHIGH,3,2
50,2.43819,0.022466,1.931347933,0.690740706,0.733766032,0.019480712,0.007712507,0.387071015,HIGH,HIGH,HIGHHIGH,1,1
51,2.45712,0.02155,1.931347933,0.690740706,0.761171395,0.019480712,0.007712507,0.268302886,HIGH,HIGH,HIGHHIGH,1,1
52,0.954213,0.021822,1.931347933,0.690740706,-1.41461901,0.019480712,0.007712507,0.303570278,LOW,HIGH,LOWHIGH,3,2
53,2.31907,0.019936,1.931347933,0.690740706,0.561313476,0.019480712,0.007712507,0.059032404,HIGH,HIGH,HIGHHIGH,1,1
54,2.96854,0.023212,1.931347933,0.690740706,1.501564998,0.019480712,0.007712507,0.483797025,HIGH,HIGH,HIGHHIGH,1,1
55,2.24669,0.011459,1.931347933,0.690740706,0.456527412,0.019480712,0.007712507,-1.040091433,HIGH,LOW,HIGHLOW,2,4
56,2.57772,0.020315,1.931347933,0.690740706,0.935766578,0.019480712,0.007712507,0.108173366,HIGH,HIGH,HIGHHIGH,1,1
57,2.24688,0.009847,1.931347933,0.690740706,0.456802479,0.019480712,0.007712507,-1.249102595,HIGH,LOW,HIGHLOW,2,4
58,2.50509,0.017826,1.931347933,0.690740706,0.830618584,0.019480712,0.007712507,-0.214549204,HIGH,LOW,HIGHLOW,2,4
59,2.28762,0.021417,1.931347933,0.690740706,0.515782643,0.019480712,0.007712507,0.251058168,HIGH,HIGH,HIGHHIGH,1,1
60,2.78213,0.021564,1.931347933,0.690740706,1.231695279,0.019480712,0.007712507,0.270118119,HIGH,HIGH,HIGHHIGH,1,1
61,2.45892,0.022954,1.931347933,0.690740706,0.763777293,0.019480712,0.007712507,0.450344866,HIGH,HIGH,HIGHHIGH,1,1
62,0.836642,0.020672,1.931347933,0.690740706,-1.584829045,0.019480712,0.007712507,0.154461818,LOW,HIGH,LOWHIGH,3,2
63,2.28098,0.022836,1.931347933,0.690740706,0.506169774,0.019480712,0.007712507,0.435045042,HIGH,HIGH,HIGHHIGH,1,1
64,2.49296,0.00513,1.931347933,0.690740706,0.813057725,0.019480712,0.007712507,-1.860706599,HIGH,LOW,HIGHLOW,2,4
65,2.40276,0.022216,1.931347933,0.690740706,0.682473268,0.019480712,0.007712507,0.354656133,HIGH,HIGH,HIGHHIGH,1,1
66,2.51905,0.022671,1.931347933,0.690740706,0.850828772,0.019480712,0.007712507,0.413651219,HIGH,HIGH,HIGHHIGH,1,1
67,2.31349,0.009414,1.931347933,0.690740706,0.553235192,0.019480712,0.007712507,-1.305245172,HIGH,LOW,HIGHLOW,2,4
68,0.602218,0.026707,1.931347933,0.690740706,-1.924209652,0.019480712,0.007712507,0.936957083,LOW,HIGH,LOWHIGH,3,2
69,2.553,0.022651,1.931347933,0.690740706,0.899978909,0.019480712,0.007712507,0.411058028,HIGH,HIGH,HIGHHIGH,1,1
70,2.57731,0.022457,1.931347933,0.690740706,0.935173013,0.019480712,0.007712507,0.38590408,HIGH,HIGH,HIGHHIGH,1,1
71,2.37351,0.025567,1.931347933,0.690740706,0.640127421,0.019480712,0.007712507,0.789145218,HIGH,HIGH,HIGHHIGH,1,1
72,2.31224,0.0228,1.931347933,0.690740706,0.55142554,0.019480712,0.007712507,0.430377298,HIGH,HIGH,HIGHHIGH,1,1
73,2.38134,0.022371,1.931347933,0.690740706,0.651463079,0.019480712,0.007712507,0.37475336,HIGH,HIGH,HIGHHIGH,1,1
74,2.75949,0.022682,1.931347933,0.690740706,1.19891887,0.019480712,0.007712507,0.415077474,HIGH,HIGH,HIGHHIGH,1,1
75,2.6774,0.022281,1.931347933,0.690740706,1.080075433,0.019480712,0.007712507,0.363084002,HIGH,HIGH,HIGHHIGH,1,1
76,2.45418,0.022611,1.931347933,0.690740706,0.756915095,0.019480712,0.007712507,0.405871647,HIGH,HIGH,HIGHHIGH,1,1
77,2.3722,0.022851,1.931347933,0.690740706,0.638230906,0.019480712,0.007712507,0.436989935,HIGH,HIGH,HIGHHIGH,1,1
78,2.73754,0.016126,1.931347933,0.690740706,1.167141389,0.019480712,0.007712507,-0.434970406,HIGH,LOW,HIGHLOW,2,4
79,2.33778,0.023194,1.931347933,0.690740706,0.588400341,0.019480712,0.007712507,0.481463153,HIGH,HIGH,HIGHHIGH,1,1
80,2.57386,0.021616,1.931347933,0.690740706,0.930178374,0.019480712,0.007712507,0.276860415,HIGH,HIGH,HIGHHIGH,1,1
81,0.66613,0.022714,1.931347933,0.690740706,-1.831682891,0.019480712,0.007712507,0.419226579,LOW,HIGH,LOWHIGH,3,2
82,2.36883,0.022358,1.931347933,0.690740706,0.633352086,0.019480712,0.007712507,0.373067786,HIGH,HIGH,HIGHHIGH,1,1
83,2.40346,0.022491,1.931347933,0.690740706,0.683486673,0.019480712,0.007712507,0.390312504,HIGH,HIGH,HIGHHIGH,1,1
84,2.26896,0.009792,1.931347933,0.690740706,0.488768164,0.019480712,0.007712507,-1.256233869,HIGH,LOW,HIGHLOW,2,4
85,2.36739,0.021942,1.931347933,0.690740706,0.631267367,0.019480712,0.007712507,0.319129422,HIGH,HIGH,HIGHHIGH,1,1
86,2.28917,0.023091,1.931347933,0.690740706,0.518026611,0.019480712,0.007712507,0.468108222,HIGH,HIGH,HIGHHIGH,1,1
87,2.37764,0.022988,1.931347933,0.690740706,0.64610651,0.019480712,0.007712507,0.45475329,HIGH,HIGH,HIGHHIGH,1,1
88,2.40113,0.021719,1.931347933,0.690740706,0.680113482,0.019480712,0.007712507,0.290215346,HIGH,HIGH,HIGHHIGH,1,1
89,2.31168,0.022816,1.931347933,0.690740706,0.550614816,0.019480712,0.007712507,0.432451851,HIGH,HIGH,HIGHHIGH,1,1
