variable,qv,sig
X1,0.409598176026464,5.3788373755026e-10
X2,0.524197164241027,6.48201381459046e-10
X3,0.0649136225660741,2.97599389575964e-10
X4,0.27404464136886,9.0970309063465e-10
X5,0.431035483156905,3.78830189440293e-10
X6,0.290893782807198,6.56507292973174e-10
X7,0.733753887710811,3.27498694829842e-10
X8,0.116890708229281,3.29031468737639e-10
X9,0.455004375474856,1.84135262593088e-10
X10,0.302799547968249,2.84596124444647e-10
X11,0.0865548691611288,3.43851391804151e-10
X12,0.150932360490529,7.3428851887769e-10
X13,0.161827337247683,9.15802988998848e-10
X14,0.0905562492888746,6.2955174406909e-10
