"Mean","itv"
"X1.1",282.202022297762,"[23.2,120]"
"X1.2",335.298007872703,"(120,262]"
"X1.3",410.736417786567,"(262,450]"
"X1.4",487.576484720899,"(450,676]"
"X1.5",562.203690645859,"(676,944]"
"X1.6",621.028676552851,"(944,1.26e+03]"
"X1.7",650.525886794393,"(1.26e+03,2.1e+03]"
"X2.1",278.981246074965,"[0,2.39]"
"X2.2",361.210057455842,"(2.39,6.19]"
"X2.3",463.87565860547,"(6.19,10.7]"
"X2.4",547.817209392864,"(10.7,15.5]"
"X2.5",598.415225734677,"(15.5,21]"
"X2.6",630.542011346728,"(21,28]"
"X2.7",642.776775477202,"(28,50.7]"
"X3.1",321.492055941037,"[590,735]"
"X3.2",364.734765534784,"(735,880]"
"X3.3",393.099894771247,"(880,1.02e+03]"
"X3.4",319.759100757864,"(1.02e+03,1.17e+03]"
"X3.5",355.545481237857,"(1.17e+03,1.31e+03]"
"X3.6",558.154735497008,"(1.31e+03,1.46e+03]"
"X3.7",632.22094242,"(1.46e+03,1.6e+03]"
"X4.1",598.515635603413,"[6.61,13.6]"
"X4.2",455.163309924545,"(13.6,14.2]"
"X4.3",354.565741257584,"(14.2,14.8]"
"X4.4",306.253162379946,"(14.8,15.4]"
"X4.5",317.122460313113,"(15.4,16]"
"X4.6",325.541195723226,"(16,16.6]"
"X4.7",172.068001063,"(16.6,16.8]"
"X5.1",652.296339735016,"[748,953]"
"X5.2",629.923052315593,"(953,1.04e+03]"
"X5.3",609.35400804072,"(1.04e+03,1.1e+03]"
"X5.4",512.501680934235,"(1.1e+03,1.14e+03]"
"X5.5",376.983953254676,"(1.14e+03,1.18e+03]"
"X5.6",290.809379254686,"(1.18e+03,1.2e+03]"
"X5.7",288.815534268769,"(1.2e+03,1.25e+03]"
"X6.1",147.530666562183,"[-810,5.99e+03]"
"X6.2",270.208334224543,"(5.99e+03,6.56e+03]"
"X6.3",311.146833730359,"(6.56e+03,7.14e+03]"
"X6.4",348.54250212537,"(7.14e+03,7.71e+03]"
"X6.5",389.271797250307,"(7.71e+03,8.28e+03]"
"X6.6",439.421622728943,"(8.28e+03,8.85e+03]"
"X6.7",613.99121164812,"(8.85e+03,9.33e+03]"
"X7.1",127.778413703632,"[0,401]"
"X7.2",247.477358869152,"(401,496]"
"X7.3",306.364784276494,"(496,590]"
"X7.4",329.207521139031,"(590,685]"
"X7.5",350.126571435933,"(685,780]"
"X7.6",526.214773407451,"(780,875]"
"X7.7",650.106179140983,"(875,1.09e+03]"
"X8.1",379.678684409387,"[0,0.0906]"
"X8.2",296.267175061599,"(0.0906,0.373]"
"X8.3",287.010928992358,"(0.373,0.467]"
"X8.4",278.474655650078,"(0.467,0.652]"
"X8.5",279.464624579065,"(0.652,1.18]"
"X8.6",258.015367940361,"(1.18,3.15]"
"X8.7",156.197239695106,"(3.15,47.7]"
"X9.1",581.631665947633,"[0,0.539]"
"X9.2",427.064678870524,"(0.539,1.42]"
"X9.3",335.865153354891,"(1.42,2.36]"
"X9.4",311.565244488994,"(2.36,3.25]"
"X9.5",300.078310400482,"(3.25,4.23]"
"X9.6",284.832306778047,"(4.23,5.92]"
"X9.7",222.070898529035,"(5.92,343]"
"X10.1",540.642869117936,"[130,527]"
"X10.2",372.207378297792,"(527,810]"
"X10.3",320.321894251243,"(810,1.03e+03]"
"X10.4",300.762561838405,"(1.03e+03,1.4e+03]"
"X10.5",304.06912613723,"(1.4e+03,2.13e+03]"
"X10.6",273.281193444941,"(2.13e+03,6.66e+04]"
"X11.1",307.481997600105,"[0,2.22e+03]"
"X11.2",334.300401762897,"(2.22e+03,4.91e+03]"
"X11.3",362.378240664278,"(4.91e+03,8.07e+03]"
"X11.4",381.602984493665,"(8.07e+03,1.18e+04]"
"X11.5",418.393444439798,"(1.18e+04,1.65e+04]"
"X11.6",480.078166905726,"(1.65e+04,2.3e+04]"
"X11.7",522.281440311655,"(2.3e+04,3.84e+04]"
"X12.1",291.684697073501,"[0,926]"
"X12.2",340.340354147257,"(926,2.03e+03]"
"X12.3",358.167385403684,"(2.03e+03,3.32e+03]"
"X12.4",386.175902284957,"(3.32e+03,4.91e+03]"
"X12.5",442.732070247064,"(4.91e+03,6.96e+03]"
"X12.6",508.780640520709,"(6.96e+03,9.86e+03]"
"X12.7",606.629722075542,"(9.86e+03,1.73e+04]"
"X13.1",250.693204577543,"[166,6.62e+03]"
"X13.2",312.778515484403,"(6.62e+03,1.12e+04]"
"X13.3",332.344735051051,"(1.12e+04,1.55e+04]"
"X13.4",350.641998041935,"(1.55e+04,2.01e+04]"
"X13.5",388.63620567598,"(2.01e+04,2.53e+04]"
"X13.6",453.745238577724,"(2.53e+04,3.19e+04]"
"X13.7",532.146257941686,"(3.19e+04,4.98e+04]"
"X14.1",197.507725611904,"[0,311]"
"X14.2",338.165655889257,"(311,9.78e+03]"
"X14.3",359.088019458686,"(9.78e+03,1.93e+04]"
"X14.4",389.223911335224,"(1.93e+04,2.87e+04]"
"X14.5",505.328292915432,"(2.87e+04,5.74e+04]"
