variable,qv,sig
X1,0.312999546067904,6.77785272351628e-10
X2,0.397995675470129,1.46157197455921e-10
X3,0.0380705118543159,4.8797565987968e-10
X4,0.194324174999562,6.84887369040155e-10
X5,0.322731778649801,2.75305556129979e-10
X6,0.154722183906374,3.03548297608813e-11
X7,0.52699914080065,1.8497392506589e-10
X8,0.0291037101596628,6.52385034882741e-10
X9,0.342690264980952,5.63124324948205e-10
X10,0.209924936486713,8.71619443287841e-11
X11,0.0360517856059852,1.95572891215079e-10
X12,0.0750945204072134,4.37373470774105e-11
X13,0.0831120844805496,6.93139989849101e-11
X14,0.0406535401675838,3.01062730301282e-10
