var1,var2,qv1,qv2,qv12,interaction,,,,,,,,,,,,,,,,,,
1,X1,X2,0.312999546067904,0.397995675470129,0.404673990736911,"Enhance, bi-",,,,,,,,,,,,,,,,,
2,X1,X3,0.312999546067904,0.0380705118543159,0.36096813074166,"Enhance, nonlinear",,,X1,0.312999546067904,,,,,,,,,,,,,
3,X1,X4,0.312999546067904,0.194324174999562,0.33001442582004,"Enhance, bi-",,,X2,0.404673990736911,0.397995675470129,,,,,,,,,,,,
4,X1,X5,0.312999546067904,0.322731778649801,0.397503915854449,"Enhance, bi-",,,X3,0.36096813074166,0.413951065268876,0.0380705118543159,,,,,,,,,,,
5,X1,X6,0.312999546067904,0.154722183906374,0.5935947159238,"Enhance, nonlinear",,,X4,0.33001442582004,0.409791723005586,0.295233834398594,0.194324174999562,,,,,,,,,,
6,X1,X7,0.312999546067904,0.52699914080065,0.647222415657587,"Enhance, bi-",,,X5,0.397503915854449,0.42193727735964,0.368677133103615,0.36346397691461,0.322731778649801,,,,,,,,,
7,X1,X8,0.312999546067904,0.0291037101596628,0.365320971640089,"Enhance, nonlinear",,,X6,0.5935947159238,0.678037439540351,0.219984023251536,0.408429188311661,0.588047008828848,0.154722183906374,,,,,,,,
8,X1,X9,0.312999546067904,0.342690264980952,0.422792692682631,"Enhance, bi-",,,X7,0.647222415657587,0.685155314960943,0.538453556175918,0.58516350566536,0.611768725571571,0.672379371490982,0.52699914080065,,,,,,,
9,X1,X10,0.312999546067904,0.209924936486713,0.3543923546213,"Enhance, bi-",,,X8,0.365320971640089,0.455662928052926,0.0706449022172065,0.234413287110107,0.369074517184485,0.186759619412783,0.533198188190041,0.0291037101596628,,,,,,
10,X1,X11,0.312999546067904,0.0360517856059852,0.324584787440067,"Enhance, bi-",,,X9,0.422792692682631,0.469403736775132,0.374847014506985,0.374398325167678,0.404161253546396,0.571645508576583,0.605594944883387,0.376787357839892,0.342690264980952,,,,,
11,X1,X12,0.312999546067904,0.0750945204072134,0.333403745885875,"Enhance, bi-",,,X10,0.3543923546213,0.426406173752796,0.266700455924705,0.325374871357786,0.388904467137329,0.48352467447744,0.572592098891679,0.242483414111339,0.38311846284506,0.209924936486713,,,,
12,X1,X13,0.312999546067904,0.0831120844805496,0.352848618534643,"Enhance, bi-",,,X11,0.324584787440067,0.403125947058953,0.0942454690466791,0.210031913562036,0.332129554575706,0.22116182901453,0.532823231944816,0.0673318181440749,0.348959766674545,0.226106814257599,0.0360517856059852,,,
13,X1,X14,0.312999546067904,0.0406535401675838,0.342069491494445,"Enhance, bi-",,,X12,0.333403745885875,0.412323707322723,0.116628288427327,0.224935833121651,0.337698536832271,0.267839604280635,0.539146350176438,0.108544961871107,0.352842145660487,0.238523345021313,0.108199436285535,0.0750945204072134,,
14,X2,X3,0.397995675470129,0.0380705118543159,0.413951065268876,"Enhance, bi-",,,X13,0.352848618534643,0.43120642880133,0.131048205044924,0.242423974608573,0.347913353870946,0.276731957286633,0.538909374650548,0.103381332374302,0.361028147062276,0.248010954213971,0.101036580722461,0.142507246168323,0.0831120844805496,
15,X2,X4,0.397995675470129,0.194324174999562,0.409791723005586,"Enhance, bi-",,,X14,0.342069491494445,0.426689247417212,0.0875950644014016,0.233721827565885,0.349306730752521,0.201690555940222,0.535014213052208,0.0697328231579137,0.364329469429303,0.240910099684404,0.0844518874406385,0.110211532941632,0.121081246329574,0.0406535401675838
16,X2,X5,0.397995675470129,0.322731778649801,0.42193727735964,"Enhance, bi-",,,,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
17,X2,X6,0.397995675470129,0.154722183906374,0.678037439540351,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
18,X2,X7,0.397995675470129,0.52699914080065,0.685155314960943,"Enhance, bi-",,,,,,,,,,,,,,,,,
19,X2,X8,0.397995675470129,0.0291037101596628,0.455662928052926,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
20,X2,X9,0.397995675470129,0.342690264980952,0.469403736775132,"Enhance, bi-",,,,,,,,,,,,,,,,,
21,X2,X10,0.397995675470129,0.209924936486713,0.426406173752796,"Enhance, bi-",,,,,,,,,,,,,,,,,
22,X2,X11,0.397995675470129,0.0360517856059852,0.403125947058953,"Enhance, bi-",,,,,,,,,,,,,,,,,
23,X2,X12,0.397995675470129,0.0750945204072134,0.412323707322723,"Enhance, bi-",,,,,,,,,,,,,,,,,
24,X2,X13,0.397995675470129,0.0831120844805496,0.43120642880133,"Enhance, bi-",,,,,,,,,,,,,,,,,
25,X2,X14,0.397995675470129,0.0406535401675838,0.426689247417212,"Enhance, bi-",,,,,,,,,,,,,,,,,
26,X3,X4,0.0380705118543159,0.194324174999562,0.295233834398594,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
27,X3,X5,0.0380705118543159,0.322731778649801,0.368677133103615,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
28,X3,X6,0.0380705118543159,0.154722183906374,0.219984023251536,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
29,X3,X7,0.0380705118543159,0.52699914080065,0.538453556175918,"Enhance, bi-",,,,,,0.312999546067904,,,,,,,,,,,
30,X3,X8,0.0380705118543159,0.0291037101596628,0.0706449022172065,"Enhance, nonlinear",,,,,,0.397995675470129,,,,,,,,,,,
31,X3,X9,0.0380705118543159,0.342690264980952,0.374847014506985,"Enhance, bi-",,,,,,0.0380705118543159,,,,,,,,,,,
32,X3,X10,0.0380705118543159,0.209924936486713,0.266700455924705,"Enhance, nonlinear",,,,,,0.194324174999562,,,,,,,,,,,
33,X3,X11,0.0380705118543159,0.0360517856059852,0.0942454690466791,"Enhance, nonlinear",,,,,,0.322731778649801,,,,,,,,,,,
34,X3,X12,0.0380705118543159,0.0750945204072134,0.116628288427327,"Enhance, nonlinear",,,,,,0.154722183906374,,,,,,,,,,,
35,X3,X13,0.0380705118543159,0.0831120844805496,0.131048205044924,"Enhance, nonlinear",,,,,,0.52699914080065,,,,,,,,,,,
36,X3,X14,0.0380705118543159,0.0406535401675838,0.0875950644014016,"Enhance, nonlinear",,,,,,0.0291037101596628,,,,,,,,,,,
37,X4,X5,0.194324174999562,0.322731778649801,0.36346397691461,"Enhance, bi-",,,,,,0.342690264980952,,,,,,,,,,,
38,X4,X6,0.194324174999562,0.154722183906374,0.408429188311661,"Enhance, nonlinear",,,,,,0.209924936486713,,,,,,,,,,,
39,X4,X7,0.194324174999562,0.52699914080065,0.58516350566536,"Enhance, bi-",,,,,,0.0360517856059852,,,,,,,,,,,
40,X4,X8,0.194324174999562,0.0291037101596628,0.234413287110107,"Enhance, nonlinear",,,,,,0.0750945204072134,,,,,,,,,,,
41,X4,X9,0.194324174999562,0.342690264980952,0.374398325167678,"Enhance, bi-",,,,,,0.0831120844805496,,,,,,,,,,,
42,X4,X10,0.194324174999562,0.209924936486713,0.325374871357786,"Enhance, bi-",,,,,,0.0406535401675838,,,,,,,,,,,
43,X4,X11,0.194324174999562,0.0360517856059852,0.210031913562036,"Enhance, bi-",,,,,,,,,,,,,,,,,
44,X4,X12,0.194324174999562,0.0750945204072134,0.224935833121651,"Enhance, bi-",,,,,,,,,,,,,,,,,
45,X4,X13,0.194324174999562,0.0831120844805496,0.242423974608573,"Enhance, bi-",,,,,,,,,,,,,,,,,
46,X4,X14,0.194324174999562,0.0406535401675838,0.233721827565885,"Enhance, bi-",,,,,,,,,,,,,,,,,
47,X5,X6,0.322731778649801,0.154722183906374,0.588047008828848,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
48,X5,X7,0.322731778649801,0.52699914080065,0.611768725571571,"Enhance, bi-",,,,,,,,,,,,,,,,,
