"Mean","itv"
"X1.1",4.36125391201013,"[23.2,50]"
"X1.2",4.18890065282125,"(50,106]"
"X1.3",3.51662437510983,"(106,225]"
"X1.4",2.3182209146928,"(225,474]"
"X1.5",1.21001754393239,"(474,999]"
"X1.6",0.238373460683146,"(999,2.1e+03]"
"X2.1",4.23908443661616,"[0,1.09]"
"X2.2",3.70110349987388,"(1.09,4.54]"
"X2.3",2.54461650653866,"(4.54,7.99]"
"X2.4",1.45831341936952,"(7.99,11.4]"
"X2.5",0.883065690836538,"(11.4,14.9]"
"X2.6",0.434301752691877,"(14.9,18.3]"
"X2.7",0.206453972840625,"(18.3,50.7]"
"X3.1",3.29954086291109,"[590,735]"
"X3.2",3.21422393094996,"(735,880]"
"X3.3",2.92539875466539,"(880,1.02e+03]"
"X3.4",3.84997359329793,"(1.02e+03,1.17e+03]"
"X3.5",3.67443681068196,"(1.17e+03,1.31e+03]"
"X3.6",1.14970991553279,"(1.31e+03,1.46e+03]"
"X3.7",0.45327185948,"(1.46e+03,1.6e+03]"
"X4.1",0.538776475373837,"[6.61,13.6]"
"X4.2",1.85485369458252,"(13.6,14.2]"
"X4.3",3.13027940741543,"(14.2,14.8]"
"X4.4",3.63578788008428,"(14.8,15.4]"
"X4.5",3.79868667712127,"(15.4,16]"
"X4.6",3.81236627210312,"(16,16.6]"
"X4.7",1.9482305367,"(16.6,16.8]"
"X5.1",0.462509566808,"[748,1137]"
"X5.2",2.68460707685252,"(1137,1169]"
"X5.3",3.43190687264825,"(1169,1185]"
"X5.4",3.91202662471913,"(1185,1195]"
"X5.5",4.0913745101673,"(1195,1203]"
"X5.6",4.25580833966273,"(1203,1211]"
"X5.7",4.23070103782355,"(1211,1253]"
"X6.1",1.14829008680529,"[-810,5.99e+03]"
"X6.2",2.47900054497003,"(5.99e+03,6.56e+03]"
"X6.3",3.06552936189136,"(6.56e+03,7.14e+03]"
"X6.4",3.60550244969739,"(7.14e+03,7.71e+03]"
"X6.5",3.97103370046595,"(7.71e+03,8.28e+03]"
"X6.6",3.71423321111507,"(8.28e+03,8.85e+03]"
"X6.7",0.876832131744361,"(8.85e+03,9.33e+03]"
"X7.1",1.42197519517381,"[0,401]"
"X7.2",2.89805992339029,"(401,496]"
"X7.3",3.79076856146563,"(496,590]"
"X7.4",4.47764977968579,"(590,685]"
"X7.5",4.67016027366946,"(685,780]"
"X7.6",1.68595855438583,"(780,875]"
"X7.7",0.151813165310189,"(875,1.09e+03]"
"X8.1",3.25450060171607,"[0,0.0906]"
"X8.2",3.93258845625915,"(0.0906,0.373]"
"X8.3",4.03209083148867,"(0.373,0.467]"
"X8.4",3.80699259582955,"(0.467,0.652]"
"X8.5",3.76204511153399,"(0.652,1.18]"
"X8.6",3.27778656339093,"(1.18,3.15]"
"X8.7",1.77965207587412,"(3.15,47.7]"
"X9.1",0.539554388070857,"[0,0.539]"
"X9.2",2.54801613387233,"(0.539,1.42]"
"X9.3",3.92668235896037,"(1.42,2.36]"
"X9.4",4.38009728989063,"(2.36,3.25]"
"X9.5",4.45359133227058,"(3.25,4.23]"
"X9.6",4.18247315301296,"(4.23,5.92]"
"X9.7",3.03849001101029,"(5.92,343]"
"X10.1",1.10331972460549,"[130,527]"
"X10.2",3.37665247388925,"(527,810]"
"X10.3",3.96879114521816,"(810,1.03e+03]"
"X10.4",4.10896969583927,"(1.03e+03,1.4e+03]"
"X10.5",3.87083351554427,"(1.4e+03,2.13e+03]"
"X10.6",3.344360243242,"(2.13e+03,6.66e+04]"
"X11.1",3.59567433371478,"[0,2.6e+03]"
"X11.2",3.45769879224927,"(2.6e+03,5.79e+03]"
"X11.3",3.23299589860307,"(5.79e+03,9.62e+03]"
"X11.4",2.93053334519249,"(9.62e+03,1.45e+04]"
"X11.5",2.28297398716026,"(1.45e+04,2.14e+04]"
"X11.6",1.60546694283871,"(2.14e+04,3.84e+04]"
"X12.1",3.51517528348727,"[0,926]"
"X12.2",3.72436869206558,"(926,2.03e+03]"
"X12.3",3.51461578369949,"(2.03e+03,3.32e+03]"
"X12.4",3.03944205388869,"(3.32e+03,4.91e+03]"
"X12.5",2.37534482044778,"(4.91e+03,6.96e+03]"
"X12.6",1.58397082965484,"(6.96e+03,9.86e+03]"
"X12.7",0.563497445101399,"(9.86e+03,1.73e+04]"
"X13.1",2.36871975900623,"[166,3.74e+03]"
"X13.2",3.77232042613835,"(3.74e+03,1.2e+04]"
"X13.3",3.62580306946732,"(1.2e+04,2.03e+04]"
"X13.4",2.90320402231273,"(2.03e+04,2.86e+04]"
"X13.5",1.61150127712016,"(2.86e+04,4.98e+04]"
"X14.1",2.05867706607293,"[0,311]"
"X14.2",3.42468807620689,"(311,9.78e+03]"
"X14.3",3.55007966021885,"(9.78e+03,1.93e+04]"
"X14.4",3.16453095321764,"(1.93e+04,2.87e+04]"
"X14.5",1.83141655934709,"(2.87e+04,5.74e+04]"
