var1,var2,qv1,qv2,qv12,interaction,,,,,,,,,,,,,,,,,,,
1,X1,X2,0.487742656345061,0.63741033154408,0.643284993957873,"Enhance, bi-",,,,,,,,,,,,,,,,,,
2,X1,X3,0.487742656345061,0.0627607626400192,0.592238233362603,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
3,X1,X4,0.487742656345061,0.317554315807475,0.524285277701908,"Enhance, bi-",,,,X1,0.487742656345061,,,,,,,,,,,,,
4,X1,X5,0.487742656345061,0.519969519508289,0.622844028628537,"Enhance, bi-",,,,X2,0.643284993957873,0.63741033154408,,,,,,,,,,,,
5,X1,X6,0.487742656345061,0.154547201371067,0.630734102408356,"Enhance, bi-",,,,X3,0.592238233362603,0.668404340988475,0.0627607626400192,,,,,,,,,,,
6,X1,X7,0.487742656345061,0.672423525303453,0.755006405034417,"Enhance, bi-",,,,X4,0.524285277701908,0.657534888343721,0.503084573877804,0.317554315807475,,,,,,,,,,
7,X1,X8,0.487742656345061,0.121681657338693,0.545802278279386,"Enhance, bi-",,,,X5,0.622844028628537,0.675313468612611,0.565735770833807,0.565902220583676,0.519969519508289,,,,,,,,,
8,X1,X9,0.487742656345061,0.566076728961407,0.648723837191011,"Enhance, bi-",,,,X6,0.630734102408356,0.724235189853932,0.214679070665699,0.410034511969429,0.591019287856252,0.154547201371067,,,,,,,,
9,X1,X10,0.487742656345061,0.368770258353998,0.565706007679876,"Enhance, bi-",,,,X7,0.755006405034417,0.780638523303253,0.679734321084933,0.70854407893105,0.728631840858741,0.696100681199157,0.672423525303453,,,,,,,
10,X1,X11,0.487742656345061,0.100518081126652,0.513423613063444,"Enhance, bi-",,,,X8,0.545802278279386,0.668001772603894,0.178691426546817,0.387101889463345,0.565207918642358,0.214198730632968,0.685065801976389,0.121681657338693,,,,,,
11,X1,X12,0.487742656345061,0.179066911180075,0.529716028300715,"Enhance, bi-",,,,X9,0.648723837191011,0.702534076438004,0.602668759621495,0.598562845252636,0.638921106383697,0.6377941374714,0.751115061410399,0.588171041381647,0.566076728961407,,,,,
12,X1,X13,0.487742656345061,0.181500919391304,0.535579579668681,"Enhance, bi-",,,,X10,0.565706007679876,0.669379240254198,0.436254372628579,0.527425551002856,0.607723733259849,0.495332514303752,0.71027230346847,0.411355879064009,0.60703677054829,0.368770258353998,,,,
13,X1,X14,0.487742656345061,0.0735436174776237,0.494382216469816,"Enhance, bi-",,,,X11,0.513423613063444,0.644259520805625,0.186280551256134,0.359715444042486,0.534611687853698,0.22728772090635,0.67974087145849,0.177152616067476,0.573347090694819,0.402157105964268,0.100518081126652,,,
14,X2,X3,0.63741033154408,0.0627607626400192,0.668404340988475,"Enhance, bi-",,,,X12,0.529716028300715,0.652589014893981,0.239466668464364,0.393998619488532,0.551007206222852,0.28395621556566,0.688115931812135,0.233875771052174,0.576619851285794,0.423228431116232,0.243691245945166,0.179066911180075,,
15,X2,X4,0.63741033154408,0.317554315807475,0.657534888343721,"Enhance, bi-",,,,X13,0.535579579668681,0.656852946331759,0.249991838852983,0.398264826396383,0.549634682580699,0.294779375016705,0.684265167307585,0.228905142875857,0.580817116888536,0.418301098667093,0.2166914152569,0.283598961825468,0.181500919391304,
16,X2,X5,0.63741033154408,0.519969519508289,0.675313468612611,"Enhance, bi-",,,,X14,0.494382216469816,0.642891572164693,0.149797847121964,0.340276484390335,0.543304886897751,0.203044002412231,0.679908670202943,0.177875129466234,0.591788450562222,0.407266471577821,0.17357694444306,0.225362454259498,0.241621948785407,0.0735436174776237
17,X2,X6,0.63741033154408,0.154547201371067,0.724235189853932,"Enhance, bi-",,,,,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
18,X2,X7,0.63741033154408,0.672423525303453,0.780638523303253,"Enhance, bi-",,,,,,,,,,,,,,,,,,
19,X2,X8,0.63741033154408,0.121681657338693,0.668001772603894,"Enhance, bi-",,,,,,,,,,,,,,,,,,
20,X2,X9,0.63741033154408,0.566076728961407,0.702534076438004,"Enhance, bi-",,,,,,,,,,,,,,,,,,
21,X2,X10,0.63741033154408,0.368770258353998,0.669379240254198,"Enhance, bi-",,,,,,,,,,,,,,,,,,
22,X2,X11,0.63741033154408,0.100518081126652,0.644259520805625,"Enhance, bi-",,,,,,,,,,,,,,,,,,
23,X2,X12,0.63741033154408,0.179066911180075,0.652589014893981,"Enhance, bi-",,,,,,,,,,,,,,,,,,
24,X2,X13,0.63741033154408,0.181500919391304,0.656852946331759,"Enhance, bi-",,,,,,,,,,,,,,,,,,
25,X2,X14,0.63741033154408,0.0735436174776237,0.642891572164693,"Enhance, bi-",,,,,,,,,,,,,,,,,,
26,X3,X4,0.0627607626400192,0.317554315807475,0.503084573877804,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
27,X3,X5,0.0627607626400192,0.519969519508289,0.565735770833807,"Enhance, bi-",,,,,,,,,,,,,,,,,,
28,X3,X6,0.0627607626400192,0.154547201371067,0.214679070665699,"Enhance, bi-",,,,,,,,,,,,,,,,,,
29,X3,X7,0.0627607626400192,0.672423525303453,0.679734321084933,"Enhance, bi-",,,,,,,,,,,,,,,,,,
30,X3,X8,0.0627607626400192,0.121681657338693,0.178691426546817,"Enhance, bi-",,,,0.487742656345061,,,,,,,,,,,,,,
31,X3,X9,0.0627607626400192,0.566076728961407,0.602668759621495,"Enhance, bi-",,,,0.63741033154408,,,,,,,,,,,,,,
32,X3,X10,0.0627607626400192,0.368770258353998,0.436254372628579,"Enhance, nonlinear",,,,0.0627607626400192,,,,,,,,,,,,,,
33,X3,X11,0.0627607626400192,0.100518081126652,0.186280551256134,"Enhance, nonlinear",,,,0.317554315807475,,,,,,,,,,,,,,
34,X3,X12,0.0627607626400192,0.179066911180075,0.239466668464364,"Enhance, bi-",,,,0.519969519508289,,,,,,,,,,,,,,
35,X3,X13,0.0627607626400192,0.181500919391304,0.249991838852983,"Enhance, nonlinear",,,,0.154547201371067,,,,,,,,,,,,,,
36,X3,X14,0.0627607626400192,0.0735436174776237,0.149797847121964,"Enhance, nonlinear",,,,0.672423525303453,,,,,,,,,,,,,,
37,X4,X5,0.317554315807475,0.519969519508289,0.565902220583676,"Enhance, bi-",,,,0.121681657338693,,,,,,,,,,,,,,
38,X4,X6,0.317554315807475,0.154547201371067,0.410034511969429,"Enhance, bi-",,,,0.566076728961407,,,,,,,,,,,,,,
39,X4,X7,0.317554315807475,0.672423525303453,0.70854407893105,"Enhance, bi-",,,,0.368770258353998,,,,,,,,,,,,,,
