"Mean","itv"
"X1.1",0.340380253598582,"[23.2,50]"
"X1.2",0.344631639128783,"(50,106]"
"X1.3",0.423828408697346,"(106,225]"
"X1.4",0.5978827584864,"(225,474]"
"X1.5",0.795471995917371,"(474,999]"
"X1.6",0.955949698231461,"(999,2.1e+03]"
"X2.1",0.343393148783675,"[0,2.39]"
"X2.2",0.490598836292215,"(2.39,6.19]"
"X2.3",0.694573203024211,"(6.19,10.7]"
"X2.4",0.839694840005055,"(10.7,15.5]"
"X2.5",0.916495488484879,"(15.5,21]"
"X2.6",0.955584556225266,"(21,28]"
"X2.7",0.974581808051813,"(28,50.7]"
"X3.1",0.435050253452706,"[590,735]"
"X3.2",0.489384219560794,"(735,880]"
"X3.3",0.543367366382609,"(880,1.02e+03]"
"X3.4",0.418797741885564,"(1.02e+03,1.17e+03]"
"X3.5",0.477538306904463,"(1.17e+03,1.31e+03]"
"X3.6",0.818428899693989,"(1.31e+03,1.46e+03]"
"X3.7",0.9353333338,"(1.46e+03,1.6e+03]"
"X4.1",0.902964466175581,"[6.61,13.6]"
"X4.2",0.679141006591019,"(13.6,14.2]"
"X4.3",0.487593601827128,"(14.2,14.8]"
"X4.4",0.395530128434606,"(14.8,15.4]"
"X4.5",0.409377007346956,"(15.4,16]"
"X4.6",0.431105629323939,"(16,16.6]"
"X4.7",0.5200000158,"(16.6,16.8]"
"X5.1",0.908665068296381,"[748,1137]"
"X5.2",0.57310855375343,"(1137,1169]"
"X5.3",0.425072238891768,"(1169,1185]"
"X5.4",0.360258833513338,"(1185,1195]"
"X5.5",0.353194831480945,"(1195,1203]"
"X5.6",0.351789094269055,"(1203,1211]"
"X5.7",0.357064759092226,"(1211,1253]"
"X6.1",0.267367853835678,"[-810,5.99e+03]"
"X6.2",0.373672820063596,"(5.99e+03,6.56e+03]"
"X6.3",0.422837078355008,"(6.56e+03,7.14e+03]"
"X6.4",0.45993890189216,"(7.14e+03,7.71e+03]"
"X6.5",0.50735060317182,"(7.71e+03,8.28e+03]"
"X6.6",0.588199971280171,"(8.28e+03,8.85e+03]"
"X6.7",0.90534830437594,"(8.85e+03,9.33e+03]"
"X7.1",0.194963367000461,"[0,401]"
"X7.2",0.339135321261691,"(401,496]"
"X7.3",0.397345372969408,"(496,590]"
"X7.4",0.413507257446407,"(590,685]"
"X7.5",0.443247861562922,"(685,780]"
"X7.6",0.774093827906496,"(780,875]"
"X7.7",0.974410892374211,"(875,1.09e+03]"
"X8.1",0.523424906717834,"[0,0.0906]"
"X8.2",0.373783969605634,"(0.0906,0.373]"
"X8.3",0.349792909600567,"(0.373,0.467]"
"X8.4",0.345025731848011,"(0.467,0.652]"
"X8.5",0.341568119525496,"(0.652,1.18]"
"X8.6",0.311185877137394,"(1.18,3.15]"
"X8.7",0.176139110265912,"(3.15,47.7]"
"X9.1",0.894741611550476,"[0,0.539]"
"X9.2",0.625986329354802,"(0.539,1.42]"
"X9.3",0.4448182671875,"(1.42,2.36]"
"X9.4",0.387861570765625,"(2.36,3.25]"
"X9.5",0.364438432347561,"(3.25,4.23]"
"X9.6",0.344622319618902,"(4.23,5.92]"
"X9.7",0.266690154667683,"(5.92,343]"
"X10.1",0.818524969226649,"[130,527]"
"X10.2",0.508800724345312,"(527,810]"
"X10.3",0.415359407250163,"(810,1.03e+03]"
"X10.4",0.375469136893826,"(1.03e+03,1.4e+03]"
"X10.5",0.387652716382228,"(1.4e+03,2.13e+03]"
"X10.6",0.347843945614958,"(2.13e+03,6.66e+04]"
"X11.1",0.395509851120833,"[0,2.22e+03]"
"X11.2",0.446144135629312,"(2.22e+03,4.91e+03]"
"X11.3",0.495646274980476,"(4.91e+03,8.07e+03]"
"X11.4",0.529035537241887,"(8.07e+03,1.18e+04]"
"X11.5",0.594547545878187,"(1.18e+04,1.65e+04]"
"X11.6",0.694664694401628,"(1.65e+04,2.3e+04]"
"X11.7",0.773838153480836,"(2.3e+04,3.84e+04]"
"X12.1",0.368295103221396,"[0,926]"
"X12.2",0.452445781063256,"(926,2.03e+03]"
"X12.3",0.486538187991294,"(2.03e+03,3.32e+03]"
"X12.4",0.541871508058513,"(3.32e+03,4.91e+03]"
"X12.5",0.64178587283691,"(4.91e+03,6.96e+03]"
"X12.6",0.754734004860846,"(6.96e+03,9.86e+03]"
"X12.7",0.912140460433566,"(9.86e+03,1.73e+04]"
"X13.1",0.313180858344888,"[166,6.62e+03]"
"X13.2",0.402948703220024,"(6.62e+03,1.12e+04]"
"X13.3",0.437500390635948,"(1.12e+04,1.55e+04]"
"X13.4",0.471466567950712,"(1.55e+04,2.01e+04]"
"X13.5",0.538717615705119,"(2.01e+04,2.53e+04]"
"X13.6",0.654590853199788,"(2.53e+04,3.19e+04]"
"X13.7",0.796642905237548,"(3.19e+04,4.98e+04]"
"X14.1",0.428752295329172,"[0,3.71e+03]"
"X14.2",0.464318471855572,"(3.71e+03,7.95e+03]"
"X14.3",0.466698249673825,"(7.95e+03,1.3e+04]"
"X14.4",0.479805284993846,"(1.3e+04,1.93e+04]"
"X14.5",0.519821108245413,"(1.93e+04,2.77e+04]"
"X14.6",0.624766785560155,"(2.77e+04,3.84e+04]"
"X14.7",0.876627620769821,"(3.84e+04,5.74e+04]"
