variable,qv,sig
X1,0.58576213189451,8.38897840083064e-10
X2,0.886453812550463,5.8869986663268e-10
X3,0.11348507002075,9.57794843436943e-10
X4,0.349717914825921,9.50350353967622e-10
X5,0.587666350201619,8.41459901756991e-10
X6,0.110875888876285,2.85777290720546e-10
X7,0.646154160063816,8.14068368271137e-10
X8,0.0679363434928403,1.14606990564425e-10
X9,0.542348000993967,2.27736163260772e-10
X10,0.40479988323152,6.50331788420999e-10
X11,0.104532833355218,7.95528865005224e-10
X12,0.169565873577552,8.73901839781865e-10
X13,0.175544095870405,5.82961789952208e-10
X14,0.0916115378899529,2.25836238598731e-10
