"Mean","itv"
"X1.1",119.960456180587,"[23.2,120]"
"X1.2",255.800362024672,"(120,262]"
"X1.3",491.01743308549,"(262,450]"
"X1.4",662.860962512252,"(450,676]"
"X1.5",826.313482639163,"(676,944]"
"X1.6",984.57782442726,"(944,1.26e+03]"
"X1.7",1122.03897758598,"(1.26e+03,2.1e+03]"
"X2.1",117.509671322767,"[0,2.39]"
"X2.2",268.804984123107,"(2.39,6.19]"
"X2.3",490.612456541049,"(6.19,10.7]"
"X2.4",751.159885401853,"(10.7,15.5]"
"X2.5",992.783977116431,"(15.5,21]"
"X2.6",1265.40910292603,"(21,28]"
"X2.7",1500.65848517617,"(28,50.7]"
"X3.1",229.159312939181,"[590,735]"
"X3.2",332.660049513933,"(735,880]"
"X3.3",431.177207759622,"(880,1.02e+03]"
"X3.4",217.486545687174,"(1.02e+03,1.17e+03]"
"X3.5",266.530592104553,"(1.17e+03,1.31e+03]"
"X3.6",879.287006477787,"(1.31e+03,1.46e+03]"
"X3.7",1505.2984164,"(1.46e+03,1.6e+03]"
"X4.1",1081.91885926532,"[6.61,11.1]"
"X4.2",966.978785282727,"(11.1,12.7]"
"X4.3",703.769549299698,"(12.7,13.9]"
"X4.4",363.678615998154,"(13.9,14.8]"
"X4.5",204.825342527009,"(14.8,15.5]"
"X4.6",207.605619348013,"(15.5,16]"
"X4.7",225.828988543038,"(16,16.8]"
"X5.1",1142.43921051262,"[748,953]"
"X5.2",1020.4816740011,"(953,1.04e+03]"
"X5.3",941.652076477104,"(1.04e+03,1.1e+03]"
"X5.4",706.881659869997,"(1.1e+03,1.14e+03]"
"X5.5",355.701837233555,"(1.14e+03,1.18e+03]"
"X5.6",162.092462626987,"(1.18e+03,1.2e+03]"
"X5.7",133.563096491742,"(1.2e+03,1.25e+03]"
"X6.1",135.586870481131,"[-810,5.99e+03]"
"X6.2",229.866311639047,"(5.99e+03,6.56e+03]"
"X6.3",256.962127634244,"(6.56e+03,7.14e+03]"
"X6.4",265.60182851314,"(7.14e+03,7.71e+03]"
"X6.5",298.132553569678,"(7.71e+03,8.28e+03]"
"X6.6",440.043406709767,"(8.28e+03,8.85e+03]"
"X6.7",975.842274339098,"(8.85e+03,9.33e+03]"
"X7.1",84.8184844094906,"[0,401]"
"X7.2",157.249556974869,"(401,496]"
"X7.3",200.869380486904,"(496,590]"
"X7.4",189.894088919782,"(590,685]"
"X7.5",202.320209934832,"(685,780]"
"X7.6",621.238761456703,"(780,875]"
"X7.7",1020.06710891389,"(875,1.09e+03]"
"X8.1",354.583934946384,"[0,0.0906]"
"X8.2",158.108505968656,"(0.0906,0.373]"
"X8.3",144.288859515833,"(0.373,0.467]"
"X8.4",142.602866664185,"(0.467,0.652]"
"X8.5",138.52886690504,"(0.652,1.18]"
"X8.6",134.710937380534,"(1.18,3.15]"
"X8.7",94.5880730112532,"(3.15,47.7]"
"X9.1",880.912142708681,"[0,0.539]"
"X9.2",472.211632015488,"(0.539,1.42]"
"X9.3",233.238624601447,"(1.42,2.36]"
"X9.4",160.09286221064,"(2.36,3.25]"
"X9.5",139.060606299518,"(3.25,4.23]"
"X9.6",132.395287253403,"(4.23,5.92]"
"X9.7",110.018932670648,"(5.92,343]"
"X10.1",791.791039603226,"[130,527]"
"X10.2",337.637898894663,"(527,810]"
"X10.3",196.823002224416,"(810,1.03e+03]"
"X10.4",159.28442766151,"(1.03e+03,1.4e+03]"
"X10.5",172.006063619632,"(1.4e+03,2.13e+03]"
"X10.6",166.506683220154,"(2.13e+03,6.66e+04]"
"X11.1",206.157134823375,"[0,2.22e+03]"
"X11.2",260.187656797664,"(2.22e+03,4.91e+03]"
"X11.3",317.157051963453,"(4.91e+03,8.07e+03]"
"X11.4",362.832823251283,"(8.07e+03,1.18e+04]"
"X11.5",466.940015038319,"(1.18e+04,1.65e+04]"
"X11.6",624.914371453973,"(1.65e+04,2.3e+04]"
"X11.7",747.12902783947,"(2.3e+04,3.84e+04]"
"X12.1",190.753819398735,"[0,1.08e+03]"
"X12.2",265.599205764966,"(1.08e+03,2.43e+03]"
"X12.3",323.294032572069,"(2.43e+03,4.08e+03]"
"X12.4",466.081588175984,"(4.08e+03,6.2e+03]"
"X12.5",624.249875765717,"(6.2e+03,9.22e+03]"
"X12.6",910.433342878723,"(9.22e+03,1.73e+04]"
"X13.1",151.019398575987,"[166,6.62e+03]"
"X13.2",196.911622716833,"(6.62e+03,1.12e+04]"
"X13.3",234.09177119462,"(1.12e+04,1.55e+04]"
"X13.4",288.459166451755,"(1.55e+04,2.01e+04]"
"X13.5",371.947411892877,"(2.01e+04,2.53e+04]"
"X13.6",547.122782441697,"(2.53e+04,3.19e+04]"
"X13.7",774.588919372235,"(3.19e+04,4.98e+04]"
"X14.1",229.879905024998,"[0,3.71e+03]"
"X14.2",290.748727364235,"(3.71e+03,7.95e+03]"
"X14.3",291.601242771491,"(7.95e+03,1.3e+04]"
"X14.4",297.469170061804,"(1.3e+04,1.93e+04]"
"X14.5",392.06724590322,"(1.93e+04,2.77e+04]"
"X14.6",545.343724616502,"(2.77e+04,3.84e+04]"
"X14.7",873.370810221816,"(3.84e+04,5.74e+04]"
