var1,var2,eco
X1,X2,Y
X1,X3,Y
X1,X4,Y
X1,X5,Y
X1,X6,Y
X1,X7,Y
X1,X8,Y
X1,X9,Y
X1,X10,Y
X1,X11,Y
X1,X12,Y
X1,X13,Y
X1,X14,Y
X2,X3,Y
X2,X4,Y
X2,X5,Y
X2,X6,Y
X2,X7,Y
X2,X8,Y
X2,X9,Y
X2,X10,Y
X2,X11,Y
X2,X12,Y
X2,X13,Y
X2,X14,Y
X3,X4,Y
X3,X5,Y
X3,X6,Y
X3,X7,Y
X3,X8,Y
X3,X9,N
X3,X10,Y
X3,X11,Y
X3,X12,Y
X3,X13,Y
X3,X14,Y
X4,X5,Y
X4,X6,Y
X4,X7,Y
X4,X8,Y
X4,X9,Y
X4,X10,Y
X4,X11,Y
X4,X12,Y
X4,X13,Y
X4,X14,Y
X5,X6,Y
X5,X7,Y
X5,X8,Y
X5,X9,Y
X5,X10,Y
X5,X11,Y
X5,X12,Y
X5,X13,Y
X5,X14,Y
X6,X7,Y
X6,X8,Y
X6,X9,Y
X6,X10,Y
X6,X11,Y
X6,X12,Y
X6,X13,Y
X6,X14,Y
X7,X8,Y
X7,X9,Y
X7,X10,Y
X7,X11,Y
X7,X12,Y
X7,X13,Y
X7,X14,Y
X8,X9,Y
X8,X10,Y
X8,X11,Y
X8,X12,Y
X8,X13,Y
X8,X14,Y
X9,X10,Y
X9,X11,Y
X9,X12,Y
X9,X13,Y
X9,X14,Y
X10,X11,Y
X10,X12,Y
X10,X13,Y
X10,X14,Y
X11,X12,Y
X11,X13,Y
X11,X14,Y
X12,X13,Y
X12,X14,Y
X13,X14,Y
