variable,qv,sig
X1,0.106516783844391,3.27093241381249e-10
X2,0.174208775345722,2.46480724719333e-10
X3,0.150109292050632,3.48196138588719e-10
X4,0.203548752127907,3.20007020881974e-10
X5,0.134380397668259,1.02911457133814e-10
X6,0.0893923092066589,8.48611181325509e-11
X7,0.256672337415362,3.39916872427182e-10
X8,0.0124784227437257,8.65428950724834e-10
X9,0.152565094541998,3.20875992443348e-10
X10,0.103207071008655,2.09165351705565e-10
X11,0.00464983540339359,9.16178799492684e-10
X12,0.0227864254328275,9.7220564931888e-11
X13,0.0108326682843293,4.34749125588496e-10
X14,0.0498177782921176,1.25363941450019e-10
