"Mean","itv"
"X1.1",0.158219592139664,"[23.2,120]"
"X1.2",0.190132136036434,"(120,262]"
"X1.3",0.160769415947371,"(262,450]"
"X1.4",0.130784409106591,"(450,676]"
"X1.5",0.0979322362632159,"(676,944]"
"X1.6",0.0690166837329624,"(944,1.26e+03]"
"X1.7",0.0526473503800623,"(1.26e+03,2.1e+03]"
"X2.1",0.152110142470788,"[0,1.09]"
"X2.2",0.213059912033053,"(1.09,4.54]"
"X2.3",0.179785740403361,"(4.54,7.99]"
"X2.4",0.136034296042829,"(7.99,11.4]"
"X2.5",0.108595601109375,"(11.4,14.9]"
"X2.6",0.0847519992535014,"(14.9,18.3]"
"X2.7",0.0703700383101562,"(18.3,50.7]"
"X3.1",0.121525066573832,"[590,697]"
"X3.2",0.136981569530622,"(697,824]"
"X3.3",0.132829557404311,"(824,973]"
"X3.4",0.198746544155784,"(973,1.15e+03]"
"X3.5",0.217813076492608,"(1.15e+03,1.36e+03]"
"X3.6",0.147680688335135,"(1.36e+03,1.6e+03]"
"X4.1",0.0974550996697108,"[6.61,14.3]"
"X4.2",0.132404504500153,"(14.3,15]"
"X4.3",0.124510067909779,"(15,15.3]"
"X4.4",0.136948376051908,"(15.3,15.6]"
"X4.5",0.160531748261814,"(15.6,15.8]"
"X4.6",0.205893552314547,"(15.8,16.1]"
"X4.7",0.221701385962214,"(16.1,16.8]"
"X5.1",0.0534672225772871,"[748,953]"
"X5.2",0.0569727023476112,"(953,1.04e+03]"
"X5.3",0.0711578189906667,"(1.04e+03,1.1e+03]"
"X5.4",0.122210347377085,"(1.1e+03,1.14e+03]"
"X5.5",0.185495429538709,"(1.14e+03,1.18e+03]"
"X5.6",0.151474080989795,"(1.18e+03,1.2e+03]"
"X5.7",0.17468088720117,"(1.2e+03,1.25e+03]"
"X6.1",0.0405160448379888,"[-810,3.15e+03]"
"X6.2",0.0770356783048729,"(3.15e+03,4.83e+03]"
"X6.3",0.119875241674083,"(4.83e+03,6.05e+03]"
"X6.4",0.166530397285394,"(6.05e+03,6.92e+03]"
"X6.5",0.182641163394816,"(6.92e+03,7.6e+03]"
"X6.6",0.167866845537961,"(7.6e+03,8.2e+03]"
"X6.7",0.129662530278357,"(8.2e+03,9.33e+03]"
"X7.1",0.0991608543074689,"[0,401]"
"X7.2",0.148876790604227,"(401,496]"
"X7.3",0.188825768535558,"(496,590]"
"X7.4",0.195364881691147,"(590,685]"
"X7.5",0.171803776779716,"(685,780]"
"X7.6",0.115998169979331,"(780,875]"
"X7.7",0.0611377066785392,"(875,1.09e+03]"
"X8.1",0.157553626080867,"[0,0.477]"
"X8.2",0.14561277137468,"(0.477,1.48]"
"X8.3",0.14033413928,"(1.48,2.47]"
"X8.4",0.134584855053922,"(2.47,3.47]"
"X8.5",0.125639380090226,"(3.47,4.47]"
"X8.6",0.121823233953488,"(4.47,5.47]"
"X8.7",0.0980077428052885,"(5.47,47.7]"
"X9.1",0.078387929351581,"[0,0.539]"
"X9.2",0.174291464174924,"(0.539,1.42]"
"X9.3",0.19608233441311,"(1.42,2.36]"
"X9.4",0.178815960727896,"(2.36,3.25]"
"X9.5",0.16483541718064,"(3.25,4.23]"
"X9.6",0.154502101632622,"(4.23,5.92]"
"X9.7",0.132397765105907,"(5.92,343]"
"X10.1",0.109441685767238,"[130,490]"
"X10.2",0.212630651619665,"(490,701]"
"X10.3",0.167702470189367,"(701,939]"
"X10.4",0.163109345899771,"(939,1.12e+03]"
"X10.5",0.142216202661799,"(1.12e+03,1.54e+03]"
"X10.6",0.146624427934476,"(1.54e+03,2.35e+03]"
"X10.7",0.137574674039634,"(2.35e+03,6.66e+04]"
"X11.1",0.157553912928091,"[0,5.49e+03]"
"X11.2",0.151502832869025,"(5.49e+03,1.1e+04]"
"X11.3",0.149936078266298,"(1.1e+04,1.65e+04]"
"X11.4",0.145800042782544,"(1.65e+04,2.2e+04]"
"X11.5",0.128714613718045,"(2.2e+04,2.74e+04]"
"X11.6",0.105853593987013,"(2.74e+04,3.29e+04]"
"X11.7",0.0642177334117647,"(3.29e+04,3.84e+04]"
"X12.1",0.156384525726835,"[0,926]"
"X12.2",0.164329109814186,"(926,2.03e+03]"
"X12.3",0.159405397679676,"(2.03e+03,3.32e+03]"
"X12.4",0.153046027057589,"(3.32e+03,4.91e+03]"
"X12.5",0.138239275477825,"(4.91e+03,6.96e+03]"
"X12.6",0.115345438603001,"(6.96e+03,9.86e+03]"
"X12.7",0.0807941657797203,"(9.86e+03,1.73e+04]"
"X13.1",0.127661860290162,"[166,3.74e+03]"
"X13.2",0.155199075282111,"(3.74e+03,1.2e+04]"
"X13.3",0.160229464171679,"(1.2e+04,2.03e+04]"
"X13.4",0.157183704722308,"(2.03e+04,2.86e+04]"
"X13.5",0.130577273398555,"(2.86e+04,4.98e+04]"
"X14.1",0.116836320254457,"[0,311]"
"X14.2",0.173281480061736,"(311,5.05e+03]"
"X14.3",0.16178589688678,"(5.05e+03,9.78e+03]"
"X14.4",0.147624484934879,"(9.78e+03,1.45e+04]"
"X14.5",0.138645870748527,"(1.45e+04,1.93e+04]"
"X14.6",0.127257490178612,"(1.93e+04,2.4e+04]"
"X14.7",0.109610030648462,"(2.4e+04,5.74e+04]"
