variable,qv,sig
X1,0.15233715226356,7.85054243834793e-11
X2,0.239725704823705,1.72274083887203e-10
X3,0.14756567742521,1.78243420023705e-10
X4,0.238662570049927,1.87129201023595e-10
X5,0.182080713251991,3.59296259411224e-10
X6,0.0735393974460024,2.27360241744634e-10
X7,0.271511434525654,1.47952761153647e-10
X8,0.00062298567994068,0.559228728621658
X9,0.184540111094976,1.13531961609681e-10
X10,0.11741280402246,6.38500363692174e-10
X11,0.0119097601255728,8.43201064526511e-10
X12,0.0379066695257693,5.40380185043432e-10
X13,0.0154767282755724,2.53567611352423e-10
X14,0.0566018989886847,1.06995856619108e-10
