var1,var2,qv1,qv2,qv12,interaction,,,,,,,,,,,,,,,,,,
1,X1,X2,0.106516783844391,0.174208775345722,0.189985316811949,"Enhance, bi-",,,,,,,,,,,,,,,,,
2,X1,X3,0.106516783844391,0.150109292050632,0.309688954795684,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
3,X1,X4,0.106516783844391,0.203548752127907,0.271775784306995,"Enhance, bi-",,,,,,,,,,,,,,,,,
4,X1,X5,0.106516783844391,0.134380397668259,0.216379893611767,"Enhance, bi-",,,,,,,,,,,,,,,,,
5,X1,X6,0.106516783844391,0.0893923092066589,0.240281706580455,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
6,X1,X7,0.106516783844391,0.256672337415362,0.303034356604932,"Enhance, bi-",,,,,,,,,,,,,,,,,
7,X1,X8,0.106516783844391,0.0124784227437257,0.137877640482211,"Enhance, nonlinear",,,,,,,,,,,,,,,,,
8,X1,X9,0.106516783844391,0.152565094541998,0.216488757877106,"Enhance, bi-",,,,,,,,,,,,,,,,,
9,X1,X10,0.106516783844391,0.103207071008655,0.218461679851314,"Enhance, nonlinear",,,X1,0.15233715226356,,,,,,,,,,,,,
10,X1,X11,0.106516783844391,0.00464983540339359,0.121474284121817,"Enhance, nonlinear",,,X2,0.189985316811949,0.239725704823705,,,,,,,,,,,,
11,X1,X12,0.106516783844391,0.0227864254328275,0.127597717323673,"Enhance, bi-",,,X3,0.309688954795684,0.327742166014975,0.14756567742521,,,,,,,,,,,
12,X1,X13,0.106516783844391,0.0108326682843293,0.142901421082391,"Enhance, nonlinear",,,X4,0.271775784306995,0.309932177782001,0.256560363153768,0.238662570049927,,,,,,,,,,
13,X1,X14,0.106516783844391,0.0498177782921176,0.124993617200592,"Enhance, bi-",,,X5,0.216379893611767,0.242386791304221,0.275506949972487,0.273407744015769,0.182080713251991,,,,,,,,,
14,X2,X3,0.174208775345722,0.150109292050632,0.327742166014975,"Enhance, nonlinear",,,X6,0.240281706580455,0.303929270173374,0.227321402471877,0.302901382263038,0.221437639597459,0.0735393974460024,,,,,,,,
15,X2,X4,0.174208775345722,0.203548752127907,0.309932177782001,"Enhance, bi-",,,X7,0.303034356604932,0.344270191516286,0.4275042311704,0.410336418294769,0.298063922838123,0.281394863023281,0.271511434525654,,,,,,,
16,X2,X5,0.174208775345722,0.134380397668259,0.242386791304221,"Enhance, bi-",,,X8,0.137877640482211,0.205035097272999,0.157279254348909,0.218353888349379,0.162456827292071,0.0979955665784539,0.272013183548721,0.00062298567994068,,,,,,
17,X2,X6,0.174208775345722,0.0893923092066589,0.303929270173374,"Enhance, nonlinear",,,X9,0.216488757877106,0.258288227670717,0.286392719276232,0.283940979076077,0.212272589877278,0.226465556710795,0.297376050422966,0.16518926783113,0.184540111094976,,,,,
18,X2,X7,0.174208775345722,0.256672337415362,0.344270191516286,"Enhance, bi-",,,X10,0.218461679851314,0.263573776947843,0.219346653056872,0.248535980987469,0.252042201605546,0.228698228547211,0.358089562206884,0.113574948173059,0.23598769771015,0.11741280402246,,,,
19,X2,X8,0.174208775345722,0.0124784227437257,0.205035097272999,"Enhance, nonlinear",,,X11,0.121474284121817,0.187427307828791,0.166733421967022,0.213115141,0.148991184505583,0.102926716585421,0.26570374149903,0.0213277696981694,0.161644242860833,0.120101509192159,0.0119097601255728,,,
