variable,qv,sig
X1,0.21106083134308,4.59451476864103e-10
X2,0.162327111381113,5.80027137431216e-10
X3,0.615231273720753,7.40633776530331e-10
X4,0.622360427915702,2.06680894621059e-10
X5,0.115736539173903,5.64271074310341e-10
X6,0.0420190182025353,2.60057086975962e-10
X7,0.110700765111899,1.72323155744891e-10
X8,0.0134324079995395,3.57638030301644e-10
X9,0.0758784885864781,4.86955697986957e-10
X10,0.160358006474595,5.15111286958359e-10
X11,0.00359197682076895,7.19568821194727e-08
X12,0.0159103272917055,1.27990396059374e-10
X13,0.010977326562447,5.75667291613513e-10
X14,0.0528481639526044,6.98768376494741e-10
