var1,var2,qv1,qv2,qv12,interaction,,,,,,,,,,,,,,,,,,,
1,X1,X2,0.21106083134308,0.162327111381113,0.287669248563862,"Enhance, bi-",,,,,,,,,,,,,,,,,,
2,X1,X3,0.21106083134308,0.615231273720753,0.713563040654255,"Enhance, bi-",,,,,,,,,,,,,,,,,,
3,X1,X4,0.21106083134308,0.622360427915702,0.659840935166072,"Enhance, bi-",,,,,,,,,,,,,,,,,,
4,X1,X5,0.21106083134308,0.115736539173903,0.376271646491061,"Enhance, nonlinear",,,,X1,0.21106083134308,,,,,,,,,,,,,
5,X1,X6,0.21106083134308,0.0420190182025353,0.275224604616409,"Enhance, nonlinear",,,,X2,0.287669248563862,0.162327111381113,,,,,,,,,,,,
6,X1,X7,0.21106083134308,0.110700765111899,0.28526531278313,"Enhance, bi-",,,,X3,0.713563040654255,0.722815325150553,0.615231273720753,,,,,,,,,,,
7,X1,X8,0.21106083134308,0.0134324079995395,0.250810010867875,"Enhance, nonlinear",,,,X4,0.659840935166072,0.644236508759997,0.70162858795321,0.622360427915702,,,,,,,,,,
8,X1,X9,0.21106083134308,0.0758784885864781,0.266992497710529,"Enhance, bi-",,,,X5,0.376271646491061,0.277551980096788,0.703918054058443,0.643996739095627,0.115736539173903,,,,,,,,,
9,X1,X10,0.21106083134308,0.160358006474595,0.437631583639514,"Enhance, nonlinear",,,,X6,0.275224604616409,0.201287680394206,0.667195658540979,0.647096471590919,0.146546042675715,0.0420190182025353,,,,,,,,
10,X1,X11,0.21106083134308,0.00359197682076895,0.234970728060135,"Enhance, nonlinear",,,,X7,0.28526531278313,0.222531579285329,0.770025447370948,0.676091306531075,0.201702808463341,0.142865470043256,0.110700765111899,,,,,,,
11,X1,X12,0.21106083134308,0.0159103272917055,0.221197440490676,"Enhance, bi-",,,,X8,0.250810010867875,0.193061686672691,0.660888098798116,0.636672960220939,0.146296509567399,0.0721729586837901,0.138341923154231,0.0134324079995395,,,,,,
12,X1,X13,0.21106083134308,0.010977326562447,0.258880072060089,"Enhance, nonlinear",,,,X9,0.266992497710529,0.195087434107698,0.737915009850594,0.64767096675468,0.173098324297758,0.133669654918017,0.165741614593435,0.106932429334117,0.0758784885864781,,,,,
13,X1,X14,0.21106083134308,0.0528481639526044,0.254457426248777,"Enhance, bi-",,,,X10,0.437631583639514,0.339419344934516,0.703590165802675,0.655277232305527,0.305988433398455,0.222959096893731,0.313945424006876,0.185634852272382,0.267932203564273,0.160358006474595,,,,
14,X2,X3,0.162327111381113,0.615231273720753,0.722815325150553,"Enhance, bi-",,,,X11,0.234970728060135,0.179782844944168,0.636711183784043,0.625376706924782,0.144284678476525,0.0508832931584757,0.123785326888431,0.0195562157860047,0.0921066600779521,0.180214894357622,0.00359197682076895,,,
15,X2,X4,0.162327111381113,0.622360427915702,0.644236508759997,"Enhance, bi-",,,,X12,0.221197440490676,0.172313431535082,0.653812360244064,0.631543743320739,0.142962530575087,0.0622958152357368,0.120174450572893,0.0329366877370409,0.0883828292589273,0.180436831365313,0.0223157306964213,0.0159103272917055,,
16,X2,X5,0.162327111381113,0.115736539173903,0.277551980096788,"Enhance, bi-",,,,X13,0.258880072060089,0.192105632382091,0.660657674272691,0.632812564625017,0.158153949284684,0.0649785941385784,0.136576298339531,0.0245146493197604,0.105181719104897,0.188929812197069,0.0214797336584477,0.0309860578759511,0.010977326562447,
17,X2,X6,0.162327111381113,0.0420190182025353,0.201287680394206,"Enhance, bi-",,,,X14,0.254457426248777,0.203333201414479,0.652543043027211,0.660763842769305,0.198845666942192,0.0903187579400003,0.186720261181965,0.0748241949793288,0.124325871747799,0.222230187271854,0.0662349124205589,0.0648600242599968,0.0841468138431134,0.0528481639526044
18,X2,X7,0.162327111381113,0.110700765111899,0.222531579285329,"Enhance, bi-",,,,,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
19,X2,X8,0.162327111381113,0.0134324079995395,0.193061686672691,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
20,X2,X9,0.162327111381113,0.0758784885864781,0.195087434107698,"Enhance, bi-",,,,,,,,,,,,,,,,,,
21,X2,X10,0.162327111381113,0.160358006474595,0.339419344934516,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
22,X2,X11,0.162327111381113,0.00359197682076895,0.179782844944168,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
23,X2,X12,0.162327111381113,0.0159103272917055,0.172313431535082,"Enhance, bi-",,,,,,,,,,,,,,,,,,
24,X2,X13,0.162327111381113,0.010977326562447,0.192105632382091,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
25,X2,X14,0.162327111381113,0.0528481639526044,0.203333201414479,"Enhance, bi-",,,,,,,,,,,,,,,,,,
26,X3,X4,0.615231273720753,0.622360427915702,0.70162858795321,"Enhance, bi-",,,,,,,,,,,,,,,,,,
27,X3,X5,0.615231273720753,0.115736539173903,0.703918054058443,"Enhance, bi-",,,,,,,,,,,,,,,,,,
28,X3,X6,0.615231273720753,0.0420190182025353,0.667195658540979,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
29,X3,X7,0.615231273720753,0.110700765111899,0.770025447370948,"Enhance, nonlinear",,,,0.21106083134308,,,,,,,,,,,,,,
30,X3,X8,0.615231273720753,0.0134324079995395,0.660888098798116,"Enhance, nonlinear",,,,0.162327111381113,,,,,,,,,,,,,,
31,X3,X9,0.615231273720753,0.0758784885864781,0.737915009850594,"Enhance, nonlinear",,,,0.615231273720753,,,,,,,,,,,,,,
32,X3,X10,0.615231273720753,0.160358006474595,0.703590165802675,"Enhance, bi-",,,,0.622360427915702,,,,,,,,,,,,,,
33,X3,X11,0.615231273720753,0.00359197682076895,0.636711183784043,"Enhance, nonlinear",,,,0.115736539173903,,,,,,,,,,,,,,
34,X3,X12,0.615231273720753,0.0159103272917055,0.653812360244064,"Enhance, nonlinear",,,,0.0420190182025353,,,,,,,,,,,,,,
35,X3,X13,0.615231273720753,0.010977326562447,0.660657674272691,"Enhance, nonlinear",,,,0.110700765111899,,,,,,,,,,,,,,
36,X3,X14,0.615231273720753,0.0528481639526044,0.652543043027211,"Enhance, bi-",,,,0.0134324079995395,,,,,,,,,,,,,,
37,X4,X5,0.622360427915702,0.115736539173903,0.643996739095627,"Enhance, bi-",,,,0.0758784885864781,,,,,,,,,,,,,,
38,X4,X6,0.622360427915702,0.0420190182025353,0.647096471590919,"Enhance, bi-",,,,0.160358006474595,,,,,,,,,,,,,,
39,X4,X7,0.622360427915702,0.110700765111899,0.676091306531075,"Enhance, bi-",,,,0.00359197682076895,,,,,,,,,,,,,,
40,X4,X8,0.622360427915702,0.0134324079995395,0.636672960220939,"Enhance, nonlinear",,,,0.0159103272917055,,,,,,,,,,,,,,
41,X4,X9,0.622360427915702,0.0758784885864781,0.64767096675468,"Enhance, bi-",,,,0.010977326562447,,,,,,,,,,,,,,
42,X4,X10,0.622360427915702,0.160358006474595,0.655277232305527,"Enhance, bi-",,,,0.0528481639526044,,,,,,,,,,,,,,
43,X4,X11,0.622360427915702,0.00359197682076895,0.625376706924782,"Enhance, bi-",,,,,,,,,,,,,,,,,,
44,X4,X12,0.622360427915702,0.0159103272917055,0.631543743320739,"Enhance, bi-",,,,,,,,,,,,,,,,,,
45,X4,X13,0.622360427915702,0.010977326562447,0.632812564625017,"Enhance, bi-",,,,,,,,,,,,,,,,,,
46,X4,X14,0.622360427915702,0.0528481639526044,0.660763842769305,"Enhance, bi-",,,,,,,,,,,,,,,,,,
47,X5,X6,0.115736539173903,0.0420190182025353,0.146546042675715,"Enhance, bi-",,,,,,,,,,,,,,,,,,
48,X5,X7,0.115736539173903,0.110700765111899,0.201702808463341,"Enhance, bi-",,,,,,,,,,,,,,,,,,
49,X5,X8,0.115736539173903,0.0134324079995395,0.146296509567399,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
50,X5,X9,0.115736539173903,0.0758784885864781,0.173098324297758,"Enhance, bi-",,,,,,,,,,,,,,,,,,
51,X5,X10,0.115736539173903,0.160358006474595,0.305988433398455,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
52,X5,X11,0.115736539173903,0.00359197682076895,0.144284678476525,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
53,X5,X12,0.115736539173903,0.0159103272917055,0.142962530575087,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
54,X5,X13,0.115736539173903,0.010977326562447,0.158153949284684,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
55,X5,X14,0.115736539173903,0.0528481639526044,0.198845666942192,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
56,X6,X7,0.0420190182025353,0.110700765111899,0.142865470043256,"Enhance, bi-",,,,,,,,,,,,,,,,,,
57,X6,X8,0.0420190182025353,0.0134324079995395,0.0721729586837901,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
58,X6,X9,0.0420190182025353,0.0758784885864781,0.133669654918017,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
59,X6,X10,0.0420190182025353,0.160358006474595,0.222959096893731,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
60,X6,X11,0.0420190182025353,0.00359197682076895,0.0508832931584757,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
61,X6,X12,0.0420190182025353,0.0159103272917055,0.0622958152357368,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
62,X6,X13,0.0420190182025353,0.010977326562447,0.0649785941385784,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
63,X6,X14,0.0420190182025353,0.0528481639526044,0.0903187579400003,"Enhance, bi-",,,,,,,,,,,,,,,,,,
64,X7,X8,0.110700765111899,0.0134324079995395,0.138341923154231,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
65,X7,X9,0.110700765111899,0.0758784885864781,0.165741614593435,"Enhance, bi-",,,,,,,,,,,,,,,,,,
66,X7,X10,0.110700765111899,0.160358006474595,0.313945424006876,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
67,X7,X11,0.110700765111899,0.00359197682076895,0.123785326888431,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
68,X7,X12,0.110700765111899,0.0159103272917055,0.120174450572893,"Enhance, bi-",,,,,,,,,,,,,,,,,,
69,X7,X13,0.110700765111899,0.010977326562447,0.136576298339531,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
70,X7,X14,0.110700765111899,0.0528481639526044,0.186720261181965,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
71,X8,X9,0.0134324079995395,0.0758784885864781,0.106932429334117,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
72,X8,X10,0.0134324079995395,0.160358006474595,0.185634852272382,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
73,X8,X11,0.0134324079995395,0.00359197682076895,0.0195562157860047,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
74,X8,X12,0.0134324079995395,0.0159103272917055,0.0329366877370409,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
75,X8,X13,0.0134324079995395,0.010977326562447,0.0245146493197604,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
76,X8,X14,0.0134324079995395,0.0528481639526044,0.0748241949793288,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
77,X9,X10,0.0758784885864781,0.160358006474595,0.267932203564273,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
