"Mean","itv"
"X1.1",420.124936105723,"[23.2,48.5]"
"X1.2",356.992820886214,"(48.5,61.8]"
"X1.3",350.163365670242,"(61.8,82.5]"
"X1.4",421.171779535834,"(82.5,131]"
"X1.5",399.758695936293,"(131,242]"
"X1.6",247.234472396797,"(242,536]"
"X1.7",165.796933333572,"(536,2.1e+03]"
"X2.1",319.320406338609,"[0,0.413]"
"X2.2",348.195146845909,"(0.413,0.572]"
"X2.3",388.330299101559,"(0.572,0.779]"
"X2.4",419.325471395225,"(0.779,1.25]"
"X2.5",423.921134340199,"(1.25,4.01]"
"X2.6",270.570478179311,"(4.01,12.3]"
"X2.7",191.614890524057,"(12.3,50.7]"
"X3.1",173.178879143949,"[590,700]"
"X3.2",250.201951232181,"(700,812]"
"X3.3",294.958941380522,"(812,929]"
"X3.4",407.53651586272,"(929,1.06e+03]"
"X3.5",551.221972920317,"(1.06e+03,1.2e+03]"
"X3.6",624.275871047876,"(1.2e+03,1.6e+03]"
"X4.1",154.517041601616,"[6.61,14.3]"
"X4.2",193.369986464747,"(14.3,15]"
"X4.3",227.236375917804,"(15,15.3]"
"X4.4",297.182838090851,"(15.3,15.6]"
"X4.5",389.288050877081,"(15.6,15.8]"
"X4.6",507.804999657478,"(15.8,16.1]"
"X4.7",592.402565243563,"(16.1,16.8]"
"X5.1",213.572573521455,"[748,1137]"
"X5.2",431.522128843434,"(1137,1169]"
"X5.3",322.377662059161,"(1169,1185]"
"X5.4",293.494875378612,"(1185,1195]"
"X5.5",336.884098541263,"(1195,1203]"
"X5.6",368.518111454783,"(1203,1211]"
"X5.7",394.890235606288,"(1211,1253]"
"X6.1",366.997165479996,"[-810,6.39e+03]"
"X6.2",343.036175339547,"(6.39e+03,7.06e+03]"
"X6.3",357.940986477106,"(7.06e+03,7.51e+03]"
"X6.4",373.922789700514,"(7.51e+03,7.87e+03]"
"X6.5",358.788813494188,"(7.87e+03,8.16e+03]"
"X6.6",307.365959244465,"(8.16e+03,8.42e+03]"
"X6.7",253.168835721475,"(8.42e+03,9.33e+03]"
"X7.1",463.26777930203,"[0,401]"
"X7.2",327.357418752617,"(401,496]"
"X7.3",319.055694613925,"(496,590]"
"X7.4",371.403957975689,"(590,685]"
"X7.5",323.925152755359,"(685,780]"
"X7.6",262.934377283642,"(780,875]"
"X7.7",222.460704002245,"(875,1.09e+03]"
"X8.1",340.397689305111,"[0,0.0906]"
"X8.2",306.842437108634,"(0.0906,0.373]"
"X8.3",301.532997154717,"(0.373,0.467]"
"X8.4",298.80717421956,"(0.467,0.652]"
"X8.5",305.80823133187,"(0.652,1.18]"
"X8.6",321.925829487465,"(1.18,3.15]"
"X8.7",427.240047054639,"(3.15,47.7]"
"X9.1",211.744565276589,"[0,0.539]"
"X9.2",348.351894859009,"(0.539,1.42]"
"X9.3",382.1218821319,"(1.42,2.36]"
"X9.4",362.631651027447,"(2.36,3.25]"
"X9.5",339.71450791939,"(3.25,4.23]"
"X9.6",340.412712258921,"(4.23,5.92]"
"X9.7",376.283168581223,"(5.92,343]"
"X10.1",243.504196770237,"[130,490]"
"X10.2",491.700482779577,"(490,701]"
"X10.3",388.84086949361,"(701,939]"
"X10.4",363.523459378415,"(939,1.12e+03]"
"X10.5",297.937437640502,"(1.12e+03,1.54e+03]"
"X10.6",285.437432187775,"(1.54e+03,2.35e+03]"
"X10.7",290.309164007854,"(2.35e+03,6.66e+04]"
"X11.1",343.359822596826,"[0,5.49e+03]"
"X11.2",327.814984437757,"(5.49e+03,1.1e+04]"
"X11.3",329.114795445116,"(1.1e+04,1.65e+04]"
"X11.4",337.619379028944,"(1.65e+04,2.2e+04]"
"X11.5",342.034823034624,"(2.2e+04,2.74e+04]"
"X11.6",240.557771307792,"(2.74e+04,3.29e+04]"
"X11.7",115.140534867059,"(3.29e+04,3.84e+04]"
"X12.1",355.570967048241,"[0,926]"
"X12.2",334.144196794102,"(926,2.03e+03]"
"X12.3",341.619379360701,"(2.03e+03,3.32e+03]"
"X12.4",341.389585399851,"(3.32e+03,4.91e+03]"
"X12.5",309.993031982893,"(4.91e+03,6.96e+03]"
"X12.6",278.30431795869,"(6.96e+03,9.86e+03]"
"X12.7",201.278769628217,"(9.86e+03,1.73e+04]"
"X13.1",410.917155979851,"[166,3.74e+03]"
"X13.2",324.45877517975,"(3.74e+03,1.2e+04]"
"X13.3",340.057995050852,"(1.2e+04,2.03e+04]"
"X13.4",349.148952974896,"(2.03e+04,2.86e+04]"
"X13.5",303.31074659681,"(2.86e+04,4.98e+04]"
"X14.1",81.6116901111064,"[0,5.21]"
"X14.2",191.107714565235,"(5.21,37.6]"
"X14.3",301.731599873577,"(37.6,239]"
"X14.4",405.589613973942,"(239,1.49e+03]"
"X14.5",362.234652006239,"(1.49e+03,9.25e+03]"
"X14.6",295.836780226222,"(9.25e+03,5.74e+04]"
